AdaBoost,Artificial neural network,Bernoulli Naive Bayes,Decision Tree,Extreme Learning Machine,Gaussian Naive Bayes,K-nearest neighbours,Logistic regression,Random forest,SVM (RBF)
0.6607142857142857,0.6916666666666667,0.6845238095238095,0.6071428571428571,0.6880952380952381,0.6702380952380953,0.6488095238095237,0.6988095238095238,0.655952380952381,0.6821428571428572
0.6976190476190476,0.730952380952381,0.7452380952380953,0.6738095238095239,0.7321428571428572,0.6976190476190476,0.6928571428571428,0.6988095238095238,0.7083333333333333,0.7226190476190477
0.7464285714285714,0.7714285714285715,0.7321428571428572,0.655952380952381,0.7857142857142858,0.7678571428571429,0.7380952380952381,0.7797619047619048,0.725,0.7702380952380952
0.6988095238095238,0.7142857142857142,0.6904761904761905,0.6107142857142858,0.6678571428571429,0.6392857142857142,0.7130952380952381,0.6928571428571428,0.6702380952380953,0.6690476190476191
0.769047619047619,0.7333333333333334,0.730952380952381,0.6297619047619047,0.763095238095238,0.7154761904761905,0.7202380952380952,0.7595238095238095,0.7202380952380952,0.7380952380952381
0.6761904761904762,0.6642857142857143,0.6488095238095237,0.6369047619047619,0.6726190476190477,0.6797619047619048,0.655952380952381,0.675,0.6678571428571429,0.6583333333333333
0.7761904761904762,0.7785714285714286,0.7833333333333333,0.6511904761904761,0.7404761904761905,0.7166666666666666,0.7392857142857143,0.7821428571428571,0.7607142857142857,0.7511904761904762
0.6821428571428572,0.7333333333333334,0.694047619047619,0.611904761904762,0.6952380952380952,0.7238095238095238,0.6821428571428572,0.730952380952381,0.6976190476190476,0.7083333333333333
0.7261904761904763,0.7333333333333334,0.719047619047619,0.7083333333333334,0.7047619047619047,0.6321428571428571,0.7607142857142857,0.7178571428571429,0.7797619047619048,0.7666666666666666
0.6511904761904762,0.6785714285714286,0.7178571428571429,0.6428571428571429,0.7,0.6928571428571428,0.6785714285714286,0.6797619047619048,0.7035714285714285,0.6845238095238095
0.7142857142857143,0.6499999999999999,0.6773809523809524,0.5630952380952381,0.7023809523809523,0.6761904761904762,0.6892857142857143,0.6702380952380953,0.694047619047619,0.6857142857142857
0.7357142857142858,0.7345238095238096,0.7119047619047619,0.680952380952381,0.7095238095238094,0.5214285714285715,0.7345238095238096,0.7297619047619048,0.7178571428571429,0.7250000000000001
0.7154761904761905,0.7273809523809524,0.7535714285714286,0.6952380952380952,0.7357142857142858,0.7440476190476191,0.736904761904762,0.736904761904762,0.730952380952381,0.7559523809523809
0.7797619047619048,0.7392857142857143,0.7154761904761905,0.7261904761904763,0.7488095238095238,0.7214285714285714,0.7285714285714286,0.7583333333333333,0.7214285714285714,0.7333333333333334
0.6773809523809524,0.6916666666666667,0.7238095238095238,0.575,0.6238095238095238,0.6916666666666667,0.6952380952380952,0.6761904761904762,0.6476190476190476,0.6952380952380952
