AdaBoost,Artificial neural network,Bernoulli Naive Bayes,Decision Tree,Extreme Learning Machine,Gaussian Naive Bayes,K-nearest neighbours,Logistic regression,Random forest,SVM (RBF)
0.70145631067961167,0.65291262135922323,0.73166127292340877,0.68914059690758711,0.65533980582524254,0.66423948220064732,0.62837108953613807,0.65399137001078744,0.7343581445523194,0.6914778856526429
0.82236605537576402,0.84232290542970145,0.76069759079467814,0.75566343042071182,0.81733189500179793,0.7804746494066882,0.69471413160733542,0.83279395900755115,0.81400575332614156,0.81787126932757992
0.85320028766630707,0.82011866235167208,0.82371449119021933,0.73291981301690046,0.83126573175116869,0.81760158216468892,0.66594750089895716,0.81957928802589008,0.77076591154261054,0.76887810140237323
0.76052393857271905,0.78708220415537478,0.72402890695573618,0.74878048780487805,0.76504065040650404,0.75962059620596201,0.67976513098464331,0.78184281842818426,0.79015356820234861,0.77786811201445349
0.69596622889305815,0.7021575984990619,0.70440900562851783,0.71172607879924943,0.74099437148217651,0.6972795497185742,0.70947467166979372,0.71135084427767359,0.71510318949343343,0.72879924953095698
0.7494606256742179,0.74586479683567064,0.72015462064005753,0.69489392304926278,0.71269327580007191,0.70774901114706945,0.66046386192017259,0.74586479683567064,0.73894282632146713,0.76860841423948223
0.73903272204243065,0.72896440129449835,0.71619920891765543,0.65641855447680697,0.70118662351672056,0.70280474649406688,0.68500539374325786,0.73669543329737508,0.71592952175476443,0.73435814455231929
0.87747213232650123,0.85895361380798274,0.8630888169723121,0.68887090974469622,0.85427903631787128,0.85607695073714485,0.76582164688960808,0.86848256023013293,0.8490650845019776,0.84708737864077666
0.74182475158084904,0.76639566395663949,0.69936766034327014,0.6684733514001806,0.72719060523938572,0.71345980126467923,0.6915989159891599,0.76495031616982834,0.72520325203252034,0.76386630532971989
0.81463414634146336,0.80393996247654786,0.76829268292682928,0.71097560975609753,0.76726078799249531,0.7557223264540337,0.72711069418386487,0.80506566604127583,0.82607879924953098,0.77729831144465289
0.75170801869831005,0.75278676734987415,0.69075871988493343,0.64284430061129094,0.6766450916936354,0.6864437252786767,0.63574253865515995,0.75548363897878468,0.67502696871628909,0.74559510967277953
0.81868033081625313,0.81993887090974471,0.76582164688960808,0.62594390507011866,0.82209636821287302,0.73957209636821286,0.72941387989931672,0.82029845379359945,0.78775620280474656,0.78613807982740025
0.80097087378640774,0.78496943545487241,0.77364257461344843,0.62342682488313561,0.75476447321107509,0.75970873786407767,0.69075871988493354,0.78622797554836388,0.79647608773822365,0.78083423229054305
0.80758807588075876,0.81029810298102989,0.75519421860885272,0.75808491418247514,0.75871725383920496,0.82583559168925025,0.72095754290876246,0.80289069557362236,0.76513098464317963,0.79241192411924122
0.72795497185741076,0.72739212007504683,0.77166979362101318,0.69849906191369615,0.73808630393996244,0.70225140712945588,0.66529080675422136,0.73114446529080679,0.72701688555347088,0.73058161350844275
