AdaBoost,Artificial neural network,Bernoulli Naive Bayes,Decision Tree,Extreme Learning Machine,Gaussian Naive Bayes,K-nearest neighbours,Logistic regression,Random forest,SVM (RBF)
0.74416666666666664,0.73178571428571426,0.73357142857142854,0.65202380952380956,0.74797619047619057,0.69607142857142867,0.73369047619047623,0.74714285714285711,0.73714285714285721,0.75785714285714278
0.78333333333333333,0.78726190476190472,0.77416666666666667,0.68101190476190476,0.77898809523809531,0.74654761904761902,0.75773809523809521,0.79119047619047622,0.76720238095238091,0.79119047619047622
0.8025000000000001,0.82547619047619047,0.78047619047619043,0.6674404761904762,0.81773809523809526,0.79005952380952382,0.79547619047619045,0.82297619047619053,0.8152976190476191,0.82553571428571426
0.77261904761904765,0.77928571428571425,0.78928571428571426,0.65214285714285714,0.78083333333333338,0.74880952380952392,0.77690476190476199,0.78249999999999997,0.76249999999999996,0.77416666666666667
0.82583333333333342,0.81571428571428573,0.80964285714285711,0.67196428571428568,0.81726190476190474,0.73976190476190473,0.80154761904761906,0.81678571428571434,0.81791666666666663,0.82333333333333336
0.74369047619047612,0.74642857142857144,0.71404761904761904,0.64886904761904773,0.74119047619047618,0.68488095238095237,0.710952380952381,0.74904761904761907,0.71839285714285717,0.74595238095238092
0.82059523809523816,0.81952380952380954,0.81273809523809526,0.71011904761904765,0.81119047619047613,0.78226190476190482,0.82416666666666671,0.82714285714285718,0.82267857142857137,0.80761904761904757
0.78249999999999997,0.78809523809523807,0.78369047619047616,0.69601190476190478,0.79595238095238086,0.77142857142857135,0.75845238095238088,0.7846428571428572,0.78773809523809524,0.7784523809523809
0.81309523809523809,0.82595238095238099,0.79619047619047623,0.7723214285714286,0.79535714285714287,0.72827380952380949,0.81107142857142855,0.81464285714285711,0.84333333333333338,0.81499999999999995
0.76154761904761903,0.76095238095238105,0.77285714285714291,0.679702380952381,0.77583333333333326,0.73416666666666663,0.75535714285714284,0.76571428571428568,0.77678571428571419,0.77696428571428566
0.72738095238095235,0.71964285714285703,0.75321428571428573,0.6261309523809524,0.74226190476190457,0.71142857142857141,0.73333333333333339,0.72773809523809529,0.72249999999999992,0.7321428571428571
0.79678571428571421,0.79714285714285715,0.74797619047619046,0.72625000000000006,0.77601190476190474,0.71833333333333338,0.78761904761904755,0.79928571428571438,0.79041666666666655,0.8046428571428571
0.81000000000000005,0.81345238095238093,0.81166666666666676,0.74154761904761901,0.82392857142857145,0.78279761904761902,0.81071428571428572,0.81000000000000005,0.82601190476190478,0.8275595238095238
0.80357142857142849,0.80059523809523814,0.78809523809523818,0.74422619047619054,0.82190476190476192,0.7416666666666667,0.78321428571428575,0.81095238095238098,0.79684523809523811,0.8208333333333333
0.77333333333333332,0.77083333333333337,0.7672619047619047,0.64970238095238098,0.75273809523809521,0.73309523809523813,0.75202380952380954,0.77035714285714296,0.76821428571428574,0.77988095238095245
