AdaBoost,Artificial neural network,Bernoulli Naive Bayes,Decision Tree,Extreme Learning Machine,Gaussian Naive Bayes,K-nearest neighbours,Logistic regression,Random forest,SVM (RBF)
0.25502033475547536,0.2507287896632838,0.23930740386477944,0.10889899620336274,0.23837328819997616,0.17534358312020493,0.23994038644658455,0.24574142456325598,0.2318383120661328,0.27885617969735377
0.3139179691718962,0.314647516895034,0.29639708127748265,0.1743420944243006,0.3164840878855645,0.24974402052457945,0.2647111032207127,0.31825947656745546,0.2717063724823179,0.33181039502577536
0.3562694285820285,0.4223753612103369,0.32233293289430043,0.1630271910013409,0.42521885767295886,0.3663219219358166,0.34535608382745475,0.42966534120970235,0.3668410480805586,0.39068662914424734
0.3217863564253266,0.3189312382764611,0.3394818082199228,0.12157062982388933,0.3241449760944256,0.2809187778843242,0.2974025852677057,0.32665015285651244,0.31382278818819165,0.3424664721992273
0.3851738781728894,0.37507399588790835,0.3480569874986097,0.14099228009423603,0.3790825449367954,0.2419664599558321,0.37514921568220894,0.3751590694935346,0.37862167119100465,0.38357816032777436
0.2884822407627078,0.3029130306470099,0.22878138219590527,0.1180903394879591,0.2731670253569536,0.18658827616010498,0.24476289740920987,0.3048894103327996,0.24639481694624876,0.2843150337662268
0.4067880078392905,0.3889182533383606,0.3725931977299842,0.18794419369389948,0.3702813978648587,0.30943013000607367,0.3882687596836756,0.41664120158653073,0.3989560687832283,0.3586938226030617
0.3094411859255315,0.32757678852337835,0.32811997080692323,0.1511841621579808,0.33705070459040964,0.3059138008885226,0.25517336482578434,0.3075858254103726,0.3146216406504636,0.3063783181531813
0.36841027586054675,0.38281447411756486,0.3223589368508154,0.2899471977360806,0.3427558825946643,0.23481016476502004,0.360773564918774,0.3647264116529654,0.4523768473795513,0.3968732473249962
0.3183262611044353,0.2993695409761107,0.29712203636006784,0.1681570980496152,0.33044057252164527,0.26127701380221136,0.28017623328890817,0.31229008717093176,0.3170986935472382,0.35146477197295534
0.2593393449661947,0.21720626931832465,0.2594303018332895,0.09927945508260738,0.2633171429767056,0.19839138816248592,0.242420238608671,0.22514526423839476,0.22022861119451254,0.25629746890316074
0.35856625592378366,0.3445774512117943,0.2694528163772151,0.2297162831722831,0.3083287235761032,0.25306014820214495,0.3379357543799938,0.35597468571360524,0.31334906010607244,0.363672887703276
0.35466075339323744,0.3620639740387508,0.3608405313233526,0.26669367460593973,0.3574121639536928,0.3262556155483257,0.3485366403754667,0.36068812881845647,0.36930223703639564,0.3882569918940495
0.3755996636406357,0.3510455508848982,0.34758149772138536,0.2509048750302256,0.40452613722713227,0.2649087158601676,0.30114320313808685,0.3672521217826178,0.347110315795102,0.3584228577754428
0.29539544857289535,0.28330258175769696,0.2905003793609606,0.12012641046858286,0.27645778617682415,0.22530613667785382,0.2586864390098339,0.3048606391662473,0.27355173116697096,0.32844636358694934
