AdaBoost,Artificial neural network,Bernoulli Naive Bayes,Decision Tree,Extreme Learning Machine,Gaussian Naive Bayes,K-nearest neighbours,Logistic regression,Random forest,SVM (RBF)
0.20785146269723592,1.9378148409313738,0.0012385353225563556,0.0009412023240875348,0.10330978415737337,0.0020698602746209716,0.0005539147737975068,0.00939270414249767,0.07494572540799521,0.016401008939912774
0.1270185439195553,0.8598082458741652,0.0009176571729399008,0.0009556916478707933,0.00999884085409733,0.0018283715448998983,0.0003148409313737943,0.009083296707542654,0.07431181749247764,0.016228042637250112
0.16425218185067303,0.6884387874367901,0.0009541823433103502,0.0008080816618288439,0.011332764224893627,0.0017683012233820072,0.00030487952127278284,0.009859381112683474,0.07162555723524383,0.015826265763176833
0.0979263966500683,0.6017265236731402,0.0009931224009767092,0.0008183449328419828,0.01404377707692378,0.0018703302116891418,0.00029823858120536784,0.00883939309052445,0.07099527165067204,0.016002552535873155
0.11178151065689756,0.4748960391018553,0.0008726798970295491,0.0008409845012533335,0.00950348709725718,0.0016623480432167437,0.00031272790498837466,0.00906065713913129,0.07506194185917336,0.018183195765253624
0.1979579713014794,0.5283438340682638,0.0011081314085075178,0.0008183449328419967,0.015780684765442032,0.0026892788663555045,0.00032872653333271273,0.00873555293674444,0.13805216398050713,0.014931550019560536
0.24429935667402414,0.5194658027809842,0.0009689735280060674,0.0008355510048346226,0.010923742688928706,0.0017471709595313634,0.00031152046133975375,0.00842554177996524,0.06686279576332166,0.015436563325589625
0.1752109404054112,0.3754401132099163,0.0008892822471979756,0.0008062704963558986,0.011173985385102059,0.001656008964061595,0.0003453288835011392,0.008962250481770129,0.06703727137054516,0.016169783481204902
0.06574802341474717,0.6193056957531793,0.0009143367029063043,0.0008298156475037288,0.013674299320450722,0.0020523523417161904,0.0003284246724204465,0.009072429714705343,0.06782633579490849,0.01683659423614703
0.14010813865316907,0.5565771870426808,0.0009116199546967962,0.0008370603093953433,0.008616619737356834,0.0017420393240250576,0.00029612555482039227,0.009652606387859919,0.0671872962438842,0.016626499041289766
0.23541498630758895,0.8229806108698909,0.0008847543335139818,0.000866038956961801,0.013029524412095705,0.0017384169930787507,0.0003308395597176883,0.008382677530439642,0.06712541475689315,0.014886270882737862
0.3207552922255119,0.7863962757608096,0.0008850561944289126,0.0008636240696646702,0.011839588696395564,0.0017438504894977669,0.0003272172287713815,0.011442339736004614,0.0657751908968407,0.014524943370892829
0.23726509183816447,0.5863171278296448,0.0009728977198637523,0.0008261933165579771,0.010403334476379866,0.0017728291370642246,0.0003392916652575906,0.008808603277485005,0.06720480417678898,0.01567714647257401
0.14480147211529637,0.5456712541475692,0.0009363725494928588,0.0008397770576047403,0.012191860380876163,0.0017830924080772803,0.0003359711952244382,0.009159667518316983,0.06828214577225689,0.015741744707774563
0.2411249873218413,0.4622667822592721,0.0009689735280051792,0.0008123077145989477,0.011187870987060977,0.0017296630266265822,0.00030518138218482704,0.009232415998145171,0.0670270080995321,0.01473715159213529
