d,Data balancer,Matthews correlation coefficient,Cohen Kappa score,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff
0.06210526315789474,None,0.50198521276567665,0.49372624318049158,0.7517385598990988,0.8140490040542924,0.6894281157439052,0.3105718842560948,0.18595099594570774,0.0,0.0,0.0,0.0,0.0
0.11421052631578947,None,0.42901567279566716,0.41407077712152535,0.7129424023979954,0.814401551207474,0.6114832535885167,0.3885167464114832,0.185598448792526,0.0,0.0,0.0,0.0,0.0
0.21842105263157896,None,0.44497714737647726,0.43169327062645485,0.7213074240092805,0.812004230565838,0.6306106174527227,0.3693893825472774,0.18799576943416182,0.0,0.0,0.0,0.0,0.0
0.01,None,0.49876045253674151,0.4866286597276695,0.7493261300937551,0.8330336682531289,0.6656185919343813,0.3343814080656186,0.16696633174687114,0.0,0.0,0.0,0.0,0.0
0.27052631578947373,None,0.45687903083337184,0.43865667860395313,0.72573348423219,0.8371584699453551,0.6143084985190249,0.38569150148097514,0.16284153005464483,0.0,0.0,0.0,0.0,0.0
0.32263157894736844,None,0.57201093407469339,0.57074768774866591,0.7873738719183901,0.7956636700158647,0.779084073820916,0.22091592617908407,0.20433632998413534,0.0,0.0,0.0,0.0,0.0
0.16631578947368422,None,0.47687609402189191,0.46105265811454016,0.7372187770758561,0.837105587872378,0.6373319662793347,0.3626680337206653,0.1628944121276221,0.0,0.0,0.0,0.0,0.0
0.37473684210526315,None,0.54081917052194939,0.54025663530553281,0.7693128396926164,0.7266525647805394,0.8119731146046935,0.18802688539530643,0.2733474352194606,0.0,0.0,0.0,0.0,0.0
0.06210526315789474,ClusterCentroids,0.39544102049470758,0.37432795929464802,0.6938476093845017,0.8228626828838358,0.5648325358851675,0.4351674641148325,0.1771373171161643,0.0,0.0,0.0,0.0,0.0
0.21842105263157896,ClusterCentroids,0.44423259989702596,0.4235150221428447,0.7186202821365225,0.8390974792878548,0.5981430849851902,0.40185691501480975,0.16090252071214525,0.0,0.0,0.0,0.0,0.0
0.11421052631578947,ClusterCentroids,0.44257287304521625,0.42224371214161643,0.7182957724825019,0.8402256301780362,0.5963659147869674,0.4036340852130325,0.15977436982196366,0.0,0.0,0.0,0.0,0.0
0.01,ClusterCentroids,0.43408926148771609,0.40741977816919173,0.7114812926504039,0.8557377049180328,0.567224880382775,0.4327751196172249,0.1442622950819672,0.0,0.0,0.0,0.0,0.0
0.27052631578947373,ClusterCentroids,0.41242969351669201,0.38868613969083093,0.701296321665661,0.8413714084258771,0.5612212349054454,0.4387787650945545,0.15862859157412304,0.0,0.0,0.0,0.0,0.0
0.32263157894736844,ClusterCentroids,0.37118102329481761,0.3428816339869773,0.67884712562619,0.8422351489511722,0.5154591023012075,0.48454089769879244,0.1577648510488278,0.0,0.0,0.0,0.0,0.0
0.16631578947368422,ClusterCentroids,0.41527418852091103,0.38691206163125785,0.7012251525645997,0.8555261766261237,0.5469241285030758,0.45307587149692413,0.14447382337387626,0.0,0.0,0.0,0.0,0.0
0.01,EditedNearestNeighbours,0.30995212695359436,0.23818773149632408,0.6282294451816286,0.9269874845760621,0.3294714057871953,0.6705285942128046,0.07301251542393795,0.0,0.0,0.0,0.0,0.0
0.06210526315789474,EditedNearestNeighbours,0.24664775057562105,0.14625721869459918,0.5800822726495581,0.9706680768552794,0.18949646844383686,0.810503531556163,0.029331923144720606,0.0,0.0,0.0,0.0,0.0
0.21842105263157896,EditedNearestNeighbours,0.31321930707408813,0.21515343557510327,0.616730705905189,0.9663846289441214,0.2670767828662565,0.7329232171337434,0.03361537105587872,0.0,0.0,0.0,0.0,0.0
0.11421052631578947,EditedNearestNeighbours,0.28734085517573504,0.17316718142046308,0.5948412688372052,0.9826194253481404,0.2070631123262702,0.7929368876737298,0.017380574651859687,0.0,0.0,0.0,0.0,0.0
0.27052631578947373,EditedNearestNeighbours,0.30776159726702196,0.21385081396870187,0.6161108325835984,0.9586285915741231,0.2735930735930736,0.7264069264069265,0.041371408425876964,0.0,0.0,0.0,0.0,0.0
0.37473684210526315,ClusterCentroids,0.46588300023932577,0.44964228997185279,0.7308614307751494,0.8327868852459016,0.6289359763043975,0.37106402369560265,0.16721311475409836,0.0,0.0,0.0,0.0,0.0
0.32263157894736844,EditedNearestNeighbours,0.28963435522336134,0.17979724381013099,0.5982609370645497,0.9782830953640049,0.21823877876509457,0.7817612212349054,0.02171690463599506,0.0,0.0,0.0,0.0,0.0
0.16631578947368422,EditedNearestNeighbours,0.30356509083598487,0.20100200305507834,0.6094906482831278,0.9717609730301429,0.247220323536113,0.752779676463887,0.02823902696985722,0.0,0.0,0.0,0.0,0.0
0.01,InstanceHardnessThreshold,0.44863198540658811,0.39043075277167166,0.7063399900404826,0.9303719372466066,0.48230804283435863,0.5176919571656414,0.06962806275339327,0.0,0.0,0.0,0.0,0.0
0.06210526315789474,InstanceHardnessThreshold,0.4085095969184202,0.34514885824124591,0.6831060030731605,0.9307597391151066,0.4354522670312144,0.5645477329687856,0.06924026088489335,0.0,0.0,0.0,0.0,0.0
0.11421052631578947,InstanceHardnessThreshold,0.376356038977605,0.31387300159072901,0.667064529262197,0.9208002820377227,0.41332877648667116,0.5866712235133289,0.07919971796227745,0.0,0.0,0.0,0.0,0.0
