Default time range,Classifier description,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,H-measure,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Standard Deviation of MCC,Standard Deviation of BS,Standard Deviation of BACC,Standard Deviation of AUC,Standard Deviation of H-measure,Standard Deviation of TPR,Standard Deviation of TNR,initialisation_values
"(50, 150)",K-nearest neighbours,0.22662575381919389,0.23207942176870755,0.6527077811648209,0.6894975868706158,0.17102001202412837,0.5480085266863027,0.757407035643339,0.2425929643566608,0.4519914733136971,0.02999793922085799,0.008365695130013397,0.01769187022928738,0.015201094707676431,0.024510898144219886,0.03113715357624788,0.030302202770334245,
"(100, 200)",K-nearest neighbours,0.1922537800263035,0.24923590604026846,0.6330336053806319,0.66084904330962968,0.16292917424016998,0.5882978135831374,0.677769397178126,0.3222306028218739,0.41170218641686235,0.0323687223249285,0.009730173885320126,0.02039363585893711,0.01404027466896011,0.02993236337302901,0.026760320300127757,0.03860519361319933,
"(200, 1000)",K-nearest neighbours,0.2156371759731211,0.23545613747954164,0.6386545770963687,0.66464896477305446,0.12848655255303273,0.5701325666597621,0.7071765875329752,0.29282341246702465,0.42986743334023797,0.038273843289628004,0.009371169561589131,0.023036550796203113,0.018815944602870026,0.028557530687935404,0.0384250310410399,0.036934336978726244,
"(0, 30)",Logistic regression,0.25736374231748099,0.17304719024361123,0.6293739890909397,0.6790766630864542,0.174651161228378,0.3993194283594355,0.8594285498224437,0.14057145017755623,0.6006805716405644,0.046085655380168414,0.011825091195419041,0.024085762054912967,0.02889409329798501,0.034603691187042054,0.05009484311012832,0.022231306961877768,
"(0, 60)",Logistic regression,0.25806726019626747,0.16556058025941248,0.6314060111840487,0.68001335299422083,0.17854354124168265,0.4007671809291354,0.8620448414389612,0.1379551585610381,0.5992328190708647,0.0450071666256012,0.01044583074163269,0.022643599903393565,0.02860625187223084,0.032543786311004345,0.043077210367995805,0.02039490034283502,
"(0, 100)",Logistic regression,0.2054018190309716,0.17493775348016144,0.6233899958257136,0.67464772909877013,0.1657153341244456,0.4407503331885234,0.8060296584629038,0.1939703415370958,0.5592496668114768,0.03795375054324039,0.011279603199613493,0.023092929619257324,0.045643723483456085,0.04209579212513926,0.045745849591855965,0.020163060516231554,
"(0, 200)",Logistic regression,0.13952869782125529,0.18096964286189518,0.6186765441853549,0.65498006251801622,0.21183335332686437,0.462814198575808,0.7745388897949013,0.2254611102050986,0.5371858014241921,0.018679577233769753,0.008858250417565194,0.014199640672683731,0.03429132378726942,0.03943018099856353,0.027372961518439303,0.020565027992301713,
"(0, 300)",Logistic regression,0.10704678072248004,0.17939123006748114,0.6076073438237117,0.70120681830801213,0.23450721149676057,0.4415508731204379,0.7736638145269853,0.22633618547301476,0.558449126879562,0.029889298531395787,0.008783127793902753,0.03008281378033679,0.031012200181032488,0.03189077818034957,0.06099386000990311,0.01985024931896253,
"(50, 150)",Logistic regression,0.2680325636673096,0.17949088693113299,0.6818529807315545,0.73333984519705919,0.2621767939715483,0.6031428380675424,0.7605631233955665,0.23943687660443314,0.3968571619324576,0.026305396060958275,0.009362504864075586,0.01617467125261841,0.02236001029250564,0.031786336030663935,0.02838142392153439,0.022879964364483717,
"(100, 200)",Logistic regression,0.24425788606836601,0.18755475808583963,0.6596256939444602,0.71061696730385071,0.24468403069979427,0.5595980481817254,0.7596533397071952,0.24034666029280466,0.4404019518182747,0.023131744384685078,0.008692319692319412,0.014668422247677436,0.014936248362006401,0.024813611194019806,0.028092956119895127,0.017170078073839874,
"(200, 1000)",Logistic regression,0.24192105002871928,0.17936628726249404,0.6386487672741529,0.67966642693016022,0.15657573664590724,0.46248293126538415,0.814814603282922,0.18518539671707818,0.5375170687346159,0.0259180146604,0.009893776469152843,0.012768592346929813,0.016489203798350928,0.02203263970071046,0.020564244661167803,0.019128280970489898,
"(0, 30)",Random forest,0.24799451956077118,0.20198220368654887,0.6454812738488205,0.68239730399422471,0.18687139209399084,0.5495421275773762,0.7414204201202643,0.25857957987973507,0.45045787242262386,0.050753062690983786,0.021681819098548126,0.025874284777200905,0.02572677807344458,0.03608323462459829,0.057061812696251504,0.0687968828791206,
"(0, 60)",Random forest,0.27211873340458664,0.18180443032971297,0.6542491896071815,0.69196212582390559,0.1963846648387009,0.5113018457050138,0.7971965335093492,0.20280346649065126,0.4886981542949861,0.05148876344153056,0.016886348078536086,0.02555139231073599,0.02486158956385268,0.03499806577148463,0.05653290955722211,0.05606917647103652,
"(0, 100)",Random forest,0.22354132367221918,0.18736456064655888,0.6404583116853171,0.68736639286809276,0.17831408089735626,0.5100928118871741,0.7708238114834604,0.22917618851653937,0.4899071881128259,0.04392672654844198,0.01354540790282352,0.02519642944031579,0.025303572762789203,0.03679527381183349,0.05061127904456175,0.04530252123141548,
"(0, 200)",Random forest,0.13725830355842913,0.19182901097825245,0.6176921313582614,0.64425856628668132,0.15821765838659096,0.47082217380514557,0.7645620889113768,0.2354379110886231,0.5291778261948545,0.03528559336557208,0.010112897228223273,0.028284653297723214,0.03703453289620331,0.042682715946054835,0.05378889640081691,0.0329338118393582,
"(0, 300)",Random forest,0.10197029586177754,0.19222979254997219,0.603273194859663,0.65899968150598909,0.16820810013950938,0.44416797389406065,0.7623784158252647,0.23762158417473497,0.5558320261059394,0.03813493815128243,0.010731651841849692,0.037688242830513044,0.045147511602494056,0.0506175752824846,0.07560023091117635,0.03435194840559443,
"(50, 150)",Random forest,0.23174961000966346,0.20452969291646428,0.6615682306061436,0.70798499161657769,0.21959423495124397,0.6041514884260313,0.718984972786256,0.28101502721374394,0.39584851157396883,0.04094253531645099,0.01309789296778765,0.02704318899320838,0.024689304452542627,0.03921823867158416,0.05569913571223348,0.052876682347380036,
"(100, 200)",Random forest,0.23374665657739854,0.2106002421291793,0.6592015071020633,0.6942003959369768,0.21322850316878053,0.6147165152503328,0.7036864989537928,0.29631350104620713,0.385283484749667,0.04158452265919582,0.012876497797241095,0.025825281726415975,0.025713067624530652,0.03861004660797627,0.04752709548157084,0.05091689501176699,
"(200, 1000)",Random forest,0.2233889952627757,0.20932106954412213,0.6429091239649953,0.68301870375381268,0.16479186999565448,0.5777786444322582,0.7080396034977323,0.2919603965022675,0.4222213555677418,0.05588494880554061,0.015813861826037664,0.03470820128673036,0.038255139785516305,0.05045079819606519,0.08015508001719002,0.0601466808107994,
"(0, 30)",SVM (RBF),0.27042463452991816,0.2069172750659373,0.6549849325769784,0.69856789343774461,0.20648445306337546,0.5437469140524995,0.7662229511014576,0.2337770488985421,0.45625308594750036,0.057300581902347325,0.021570397904091626,0.027072706353260065,0.029975462279035237,0.043235430477833424,0.05214599701977172,0.06944774743451156,
"(0, 60)",SVM (RBF),0.28697635643080316,0.18506935131414415,0.6565548487303946,0.70182381360086732,0.20521810690100445,0.48964198723811614,0.8234677102226726,0.17653228977732702,0.5103580127618839,0.05350830292603117,0.018867196239900103,0.024479449394319765,0.02763261086133336,0.037248918406650594,0.045694247872131305,0.05516294785321362,
"(0, 100)",SVM (RBF),0.22812746994163821,0.19384843340507565,0.642049076367845,0.69167874267537766,0.17974764993248576,0.5049139557043733,0.7791841970313164,0.2208158029686834,0.4950860442956268,0.04676092138086225,0.015432346315382733,0.02676091134099854,0.03241335813428128,0.041486784233722915,0.05214697269745729,0.04174686843739813,
"(0, 200)",SVM (RBF),0.14200531403535177,0.19703800998643964,0.6199618228766167,0.65616683573683388,0.17677475901126613,0.46987538679256924,0.7700482589606632,0.2299517410393369,0.5301246132074309,0.038292273135053435,0.011815263476951629,0.028187417921151255,0.037373951542555545,0.04307927141169068,0.043878754320608386,0.04262677335370729,
"(0, 300)",SVM (RBF),0.10188673360527246,0.19698934847790478,0.6004930731987765,0.66864276273670464,0.1764394845158814,0.42903316088098686,0.7719529855165669,0.22804701448343337,0.5709668391190131,0.03857795515546029,0.012996024769663958,0.03458342786903381,0.04362967820190933,0.049328680535087994,0.06372726416175643,0.04622753773135112,
