d,Data balancer,Matthews correlation coefficient,Cohen Kappa score,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff
0.11421052631578947,None,0.16515008020516889,0.16365985254855428,0.577936507936508,0.3611111111111111,0.7947619047619048,0.20523809523809522,0.638888888888889,0.0,0.0,0.0,0.0,0.0
0.01,None,0.16372050059945306,0.16343765368155608,0.579920634920635,0.3888888888888889,0.7709523809523811,0.22904761904761906,0.611111111111111,0.0,0.0,0.0,0.0,0.0
0.06210526315789474,None,0.13494528294965302,0.13455127264489253,0.5656349206349206,0.3655555555555556,0.7657142857142857,0.2342857142857143,0.6344444444444445,0.0,0.0,0.0,0.0,0.0
0.21842105263157896,None,0.15128334130901142,0.15100143280913639,0.5738888888888889,0.3811111111111111,0.7666666666666667,0.2333333333333333,0.6188888888888889,0.0,0.0,0.0,0.0,0.0
0.27052631578947373,None,0.14092137530741869,0.14038467706228197,0.5678571428571428,0.36000000000000004,0.7757142857142858,0.22428571428571428,0.64,0.0,0.0,0.0,0.0,0.0
0.16631578947368422,None,0.13168321988780107,0.13139138312302598,0.564047619047619,0.3633333333333333,0.7647619047619046,0.23523809523809525,0.6366666666666667,0.0,0.0,0.0,0.0,0.0
0.32263157894736844,None,0.17266205245293706,0.17066757024808973,0.5807142857142856,0.3566666666666667,0.8047619047619047,0.19523809523809524,0.6433333333333334,0.0,0.0,0.0,0.0,0.0
0.37473684210526315,None,0.16270805439722838,0.16108947670582885,0.5767460317460317,0.3577777777777778,0.7957142857142857,0.2042857142857143,0.6422222222222222,0.0,0.0,0.0,0.0,0.0
0.01,ClusterCentroids,0.15006657788384878,0.14961452604589198,0.572936507936508,0.3744444444444444,0.7714285714285714,0.22857142857142856,0.6255555555555556,0.0,0.0,0.0,0.0,0.0
0.11421052631578947,ClusterCentroids,0.12321115019002205,0.12311250547560419,0.5606349206349207,0.3688888888888888,0.7523809523809524,0.24761904761904763,0.6311111111111112,0.0,0.0,0.0,0.0,0.0
0.27052631578947373,ClusterCentroids,0.14439015497763147,0.14409938718608786,0.5728571428571428,0.41333333333333333,0.7323809523809524,0.26761904761904765,0.5866666666666666,0.0,0.0,0.0,0.0,0.0
0.16631578947368422,ClusterCentroids,0.13458637117021557,0.13450318576616446,0.5663492063492064,0.3788888888888889,0.7538095238095238,0.24619047619047618,0.6211111111111111,0.0,0.0,0.0,0.0,0.0
0.21842105263157896,ClusterCentroids,0.11212255272133166,0.111959922511643,0.5557142857142857,0.3733333333333333,0.7380952380952381,0.2619047619047619,0.6266666666666667,0.0,0.0,0.0,0.0,0.0
0.06210526315789474,ClusterCentroids,0.1206568662029092,0.12056291431926196,0.5606349206349206,0.38888888888888884,0.7323809523809522,0.2676190476190476,0.611111111111111,0.0,0.0,0.0,0.0,0.0
0.32263157894736844,ClusterCentroids,0.10267070668806222,0.10262701036221622,0.5511111111111111,0.3688888888888889,0.7333333333333334,0.26666666666666666,0.6311111111111111,0.0,0.0,0.0,0.0,0.0
0.37473684210526315,ClusterCentroids,0.13494325947614957,0.13489696652793762,0.5669047619047619,0.3833333333333333,0.7504761904761904,0.2495238095238095,0.6166666666666666,0.0,0.0,0.0,0.0,0.0
0.01,EditedNearestNeighbours,0.17687264946246631,0.1714151663790443,0.5949206349206348,0.5455555555555555,0.6442857142857142,0.3557142857142857,0.4544444444444445,0.0,0.0,0.0,0.0,0.0
0.11421052631578947,EditedNearestNeighbours,0.15814829460440388,0.15387390098641118,0.5846825396825398,0.5255555555555557,0.6438095238095237,0.35619047619047617,0.47444444444444445,0.0,0.0,0.0,0.0,0.0
0.27052631578947373,EditedNearestNeighbours,0.16056439980205936,0.15520354995672239,0.5864285714285714,0.5399999999999999,0.6328571428571429,0.36714285714285716,0.46,0.0,0.0,0.0,0.0,0.0
0.16631578947368422,EditedNearestNeighbours,0.18469793211339494,0.17761654624785972,0.5996825396825397,0.5688888888888889,0.6304761904761905,0.36952380952380953,0.43111111111111117,0.0,0.0,0.0,0.0,0.0
0.21842105263157896,EditedNearestNeighbours,0.17531984722479454,0.17001624972168819,0.5942063492063493,0.5455555555555556,0.6428571428571429,0.3571428571428572,0.45444444444444443,0.0,0.0,0.0,0.0,0.0
0.06210526315789474,EditedNearestNeighbours,0.16978765030344725,0.16442332114155234,0.5912698412698414,0.5444444444444444,0.638095238095238,0.36190476190476195,0.45555555555555555,0.0,0.0,0.0,0.0,0.0
0.32263157894736844,EditedNearestNeighbours,0.13648346073119852,0.1329657123548732,0.573015873015873,0.5055555555555555,0.6404761904761904,0.3595238095238096,0.4944444444444444,0.0,0.0,0.0,0.0,0.0
0.37473684210526315,EditedNearestNeighbours,0.16842317978707852,0.16271291125145712,0.5907142857142857,0.5466666666666666,0.6347619047619047,0.3652380952380952,0.4533333333333333,0.0,0.0,0.0,0.0,0.0
0.16631578947368422,InstanceHardnessThreshold,0.1896235316196776,0.18072293530424244,0.6026984126984126,0.5877777777777777,0.6176190476190476,0.38238095238095243,0.41222222222222227,0.0,0.0,0.0,0.0,0.0
0.01,InstanceHardnessThreshold,0.20216645219246099,0.19264077706534322,0.6096031746031746,0.5977777777777779,0.6214285714285714,0.37857142857142856,0.4022222222222223,0.0,0.0,0.0,0.0,0.0
0.11421052631578947,InstanceHardnessThreshold,0.17730590363345192,0.16944659016724672,0.596031746031746,0.5744444444444444,0.6176190476190476,0.38238095238095243,0.42555555555555563,0.0,0.0,0.0,0.0,0.0
