layers,Data balancer,Matthews correlation coefficient,Cohen Kappa Score,Balanced Accuracy,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff
"[(50, 'rbf_l2')]",OneSidedSelection,0.34631452377659883,0.3442681036503264,0.6650793650793652,0.4877777777777778,0.8423809523809523,0.15761904761904763,0.5122222222222222,0.15777777777777777,0.5938095238095238,0.03333333333333333,0.22888888888888884,0.22888888888888884,0.05058884620666504
"[(20, 'lin'), (20, 'lin')]",RandomUnderSampler,0.34937938083057007,0.3329706504153887,0.6892857142857144,0.71,0.6685714285714286,0.3314285714285714,0.29000000000000004,0.3666666666666667,0.39666666666666667,0.09285714285714286,0.10222222222222223,0.10222222222222223,0.22426501909891763
"[(20, 'sigm'), (20, 'sigm')]",RandomUnderSampler,0.30943591015419319,0.29787166561633893,0.666984126984127,0.6611111111111111,0.6728571428571429,0.3271428571428572,0.33888888888888885,0.37777777777777777,0.38000000000000006,0.11857142857142855,0.10333333333333333,0.10333333333333333,0.17364843686421713
"[(50, 'sigm')]",RandomUnderSampler,0.33823374776645343,0.322718161789323,0.6832539682539682,0.6988888888888889,0.6676190476190476,0.3323809523809524,0.3011111111111111,0.4033333333333333,0.3947619047619048,0.12190476190476192,0.10777777777777779,0.10777777777777779,0.2506290276845296
"[(50, 'tanh')]",RandomUnderSampler,0.30964752226523801,0.29477581222543892,0.667857142857143,0.68,0.6557142857142857,0.3442857142857143,0.32,0.38222222222222224,0.35761904761904767,0.1261904761904762,0.10777777777777779,0.10777777777777779,0.22345725695292154
"[(50, 'rbf_l1')]",RandomUnderSampler,0.050495214706867055,0.046057268913287729,0.5272222222222221,0.5244444444444444,0.5299999999999999,0.47000000000000003,0.47555555555555556,0.01888888888888889,0.02857142857142857,0.002857142857142857,0.0033333333333333327,0.0033333333333333327,0.1969145933787028
"[(20, 'sigm'), (2, 'rbf_l2')]",TomekLinks,0.30278033910076152,0.2891469294076161,0.6292857142857143,0.36999999999999994,0.8885714285714285,0.11142857142857143,0.6299999999999999,0.08777777777777777,0.5780952380952381,0.012857142857142859,0.23888888888888885,0.23888888888888885,0.05643343925476074
"[(50, 'rbf_l2')]",RandomUnderSampler,0.35234210380094755,0.33784792370452726,0.6905555555555555,0.7011111111111111,0.68,0.32,0.2988888888888888,0.39333333333333337,0.39666666666666667,0.13666666666666666,0.11333333333333333,0.11333333333333333,0.21161286036173502
"[(50, 'lin')]",TomekLinks,0.37865961964074563,0.37639785465872427,0.6803968253968254,0.5088888888888888,0.8519047619047618,0.14809523809523809,0.4911111111111112,0.18777777777777774,0.6033333333333334,0.02619047619047619,0.18333333333333335,0.18333333333333335,0.16822290420532227
"[(20, 'lin'), (20, 'lin')]",TomekLinks,0.35631424945250306,0.34931247685969935,0.661904761904762,0.45,0.8738095238095238,0.1261904761904762,0.55,0.12333333333333334,0.5833333333333334,0.02238095238095238,0.21444444444444444,0.21444444444444444,0.018213589986165363
"[(20, 'sigm'), (20, 'sigm')]",TomekLinks,0.31361843381221022,0.30745329648929581,0.6426984126984127,0.42444444444444446,0.860952380952381,0.13904761904761906,0.5755555555555556,0.1277777777777778,0.5861904761904762,0.028095238095238093,0.2233333333333333,0.2233333333333333,0.06156730651855469
"[(50, 'sigm')]",TomekLinks,0.35782274745657422,0.35488889225706144,0.669047619047619,0.48666666666666664,0.8514285714285714,0.14857142857142855,0.5133333333333333,0.15333333333333332,0.5957142857142858,0.027619047619047616,0.20444444444444443,0.20444444444444443,0.04793810844421387
"[(50, 'tanh')]",TomekLinks,0.30783971355300549,0.30262306171499648,0.6411904761904762,0.4266666666666667,0.8557142857142858,0.14428571428571427,0.5733333333333334,0.1322222222222222,0.5809523809523809,0.02666666666666667,0.21222222222222223,0.21222222222222223,0.07947039604187012
"[(50, 'rbf_l1')]",TomekLinks,0.021323448087710129,0.0044125018660282995,0.5016666666666666,0.03666666666666667,0.9666666666666668,0.03333333333333333,0.9633333333333334,0.007777777777777777,0.032857142857142856,0.0,0.01333333333333333,0.01333333333333333,0.05578716595967611
"[(20, 'sigm'), (2, 'rbf_l2')]",ADASYN,0.31330006596256277,0.31084107512906123,0.6630952380952381,0.58,0.7461904761904762,0.25380952380952376,0.42,0.22111111111111112,0.3485714285714286,0.06285714285714285,0.11444444444444446,0.11444444444444446,0.23804767926534018
"[(50, 'rbf_l2')]",TomekLinks,0.34620379993741296,0.34401822653165109,0.6646825396825397,0.4855555555555555,0.8438095238095237,0.15619047619047619,0.5144444444444444,0.15444444444444444,0.5952380952380951,0.03238095238095238,0.22777777777777777,0.22777777777777777,0.056192874908447266
"[(50, 'lin')]",ADASYN,0.40228721874061396,0.39118721482477187,0.7157142857142856,0.71,0.7214285714285715,0.2785714285714285,0.29,0.33777777777777773,0.4204761904761905,0.07285714285714286,0.08666666666666667,0.08666666666666667,0.30589882532755536
"[(20, 'lin'), (20, 'lin')]",ADASYN,0.36359492352403217,0.3509884204822844,0.6959523809523809,0.6966666666666667,0.6952380952380953,0.30476190476190473,0.3033333333333333,0.29,0.359047619047619,0.05523809523809523,0.07444444444444444,0.07444444444444444,0.2657359441121419
"[(20, 'sigm'), (20, 'sigm')]",ADASYN,0.34737560518011623,0.34111594438991855,0.6838888888888889,0.6411111111111111,0.7266666666666667,0.2733333333333334,0.35888888888888887,0.25777777777777783,0.39380952380952383,0.07428571428571429,0.09444444444444444,0.09444444444444444,0.25114742914835614
"[(50, 'sigm')]",ADASYN,0.34939059960723901,0.34463094350468593,0.6844444444444444,0.6322222222222224,0.7366666666666667,0.26333333333333336,0.36777777777777776,0.2955555555555555,0.41238095238095235,0.07476190476190475,0.09444444444444444,0.09444444444444444,0.2545364697774251
"[(50, 'tanh')]",ADASYN,0.31470938271971788,0.30944391530390797,0.6668253968253968,0.6155555555555556,0.718095238095238,0.28190476190476194,0.3844444444444444,0.3022222222222222,0.38047619047619047,0.09571428571428571,0.10000000000000002,0.10000000000000002,0.2580428123474121
"[(20, 'sigm'), (2, 'rbf_l2')]",RandomOverSampler,0.33878845304942518,0.32609710081782933,0.6828571428571428,0.6833333333333332,0.6823809523809524,0.31761904761904763,0.31666666666666665,0.29777777777777775,0.3004761904761905,0.08190476190476191,0.08111111111111112,0.08111111111111112,0.2103582223256429
"[(50, 'rbf_l1')]",ADASYN,0.030838569253981891,0.020684379332630048,0.5084920634920636,0.12888888888888886,0.8880952380952382,0.1119047619047619,0.8711111111111111,0.011111111111111113,0.030476190476190473,0.0009523809523809524,0.006666666666666667,0.006666666666666667,0.3715669314066569
"[(50, 'lin')]",RandomOverSampler,0.39639318555042008,0.38405810928918527,0.7130952380952381,0.7133333333333333,0.7128571428571427,0.28714285714285714,0.2866666666666667,0.4011111111111112,0.45285714285714285,0.10047619047619048,0.11333333333333333,0.11333333333333333,0.2381147543589274
"[(50, 'rbf_l2')]",ADASYN,0.3273823277797176,0.32623393842230403,0.6687301587301587,0.5722222222222223,0.7652380952380953,0.23476190476190473,0.42777777777777776,0.24111111111111114,0.4761904761904761,0.06714285714285714,0.1322222222222222,0.1322222222222222,0.31987524032592773
"[(20, 'lin'), (20, 'lin')]",RandomOverSampler,0.36641370863714878,0.35189317452583252,0.6980158730158731,0.7088888888888888,0.6871428571428572,0.3128571428571429,0.2911111111111111,0.3611111111111111,0.40523809523809523,0.08666666666666667,0.09888888888888887,0.09888888888888887,0.2777586778004964
"[(20, 'sigm'), (20, 'sigm')]",RandomOverSampler,0.3387434866631478,0.32922912441931512,0.6816666666666666,0.6633333333333332,0.6999999999999998,0.3,0.33666666666666667,0.3411111111111111,0.3942857142857143,0.09000000000000001,0.10333333333333333,0.10333333333333333,0.20586840311686197
"[(50, 'sigm')]",RandomOverSampler,0.3482358277643553,0.33723180497886984,0.6872222222222222,0.6777777777777779,0.6966666666666667,0.3033333333333333,0.32222222222222224,0.35888888888888887,0.4038095238095238,0.09809523809523808,0.09777777777777778,0.09777777777777778,0.27542837460835773
"[(50, 'tanh')]",RandomOverSampler,0.3222923072137473,0.31143870996025619,0.6735714285714285,0.6633333333333333,0.6838095238095239,0.3161904761904762,0.3366666666666666,0.3311111111111111,0.3852380952380952,0.09333333333333332,0.10555555555555556,0.10555555555555556,0.23560897509256998
"[(50, 'rbf_l1')]",RandomOverSampler,0.051169236470851476,0.048380101963677515,0.5272222222222221,0.5077777777777778,0.5466666666666667,0.4533333333333333,0.49222222222222217,0.013333333333333334,0.025714285714285717,0.0009523809523809524,0.0044444444444444444,0.0044444444444444444,0.2096563975016276
"[(20, 'sigm'), (2, 'rbf_l2')]",SMOTE,0.32089139688721563,0.30960851244259552,0.6729365079365079,0.6644444444444445,0.6814285714285715,0.31857142857142856,0.3355555555555556,0.31,0.32,0.08285714285714285,0.10111111111111111,0.10111111111111111,0.04614790280659994
"[(50, 'rbf_l2')]",RandomOverSampler,0.37784570325450112,0.36613264819223373,0.703015873015873,0.6988888888888889,0.7071428571428572,0.29285714285714287,0.30111111111111116,0.37777777777777777,0.4185714285714286,0.10666666666666667,0.11222222222222222,0.11222222222222222,0.3103008270263672
"[(50, 'lin')]",SMOTE,0.39487955601944585,0.38362409795652858,0.711904761904762,0.7066666666666666,0.7171428571428571,0.28285714285714286,0.2933333333333333,0.43111111111111117,0.4661904761904762,0.10809523809523809,0.11222222222222222,0.11222222222222222,0.08042041460673015
"[(20, 'lin'), (20, 'lin')]",SMOTE,0.35027625331753015,0.33629980294643608,0.6892857142857142,0.6966666666666667,0.6819047619047621,0.31809523809523815,0.3033333333333333,0.3866666666666667,0.41619047619047617,0.09523809523809523,0.11777777777777776,0.11777777777777776,0.13688111305236816
"[(20, 'sigm'), (20, 'sigm')]",SMOTE,0.3336603590347893,0.32589867567542746,0.6781746031746031,0.6477777777777778,0.7085714285714285,0.2914285714285714,0.3522222222222222,0.35888888888888887,0.41809523809523813,0.10142857142857142,0.12555555555555556,0.12555555555555556,0.07676251729329427
"[(50, 'sigm')]",SMOTE,0.36284353499396599,0.35273797980852306,0.6946031746031746,0.6811111111111111,0.708095238095238,0.2919047619047619,0.3188888888888889,0.35888888888888887,0.4204761904761905,0.09571428571428571,0.10888888888888888,0.10888888888888888,0.09805790583292644
"[(50, 'tanh')]",SMOTE,0.32461402860358884,0.31395068320530362,0.6746825396825397,0.6622222222222223,0.6871428571428572,0.3128571428571429,0.3377777777777778,0.3422222222222222,0.39904761904761904,0.10238095238095239,0.10666666666666665,0.10666666666666665,0.1896813710530599
"[(50, 'rbf_l1')]",SMOTE,0.043758842916845959,0.035851523681496356,0.5232539682539682,0.6455555555555555,0.40095238095238095,0.599047619047619,0.3544444444444444,0.015555555555555553,0.023333333333333334,0.002857142857142857,0.0,0.0,0.1835312843322754
"[(50, 'rbf_l2')]",SMOTE,0.34408983748957978,0.33706807723510152,0.6831746031746032,0.6477777777777778,0.7185714285714285,0.2814285714285714,0.3522222222222222,0.3522222222222222,0.45380952380952383,0.10428571428571427,0.13777777777777775,0.13777777777777775,0.13109040260314941
