layers,Data balancer,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff
"[(100, 'tanh'), (100, 'tanh')]",InstanceHardnessThreshold,0.677936507936508,0.8077777777777778,0.5480952380952381,0.451904761904762,0.19222222222222227,0.6533333333333333,0.36190476190476195,0.2876190476190476,0.09444444444444444,0.09444444444444444
"[(100, 'lin'), (100, 'lin')]",NeighbourhoodCleaningRule,0.7146825396825397,0.7122222222222222,0.7171428571428572,0.28285714285714286,0.28777777777777774,0.45222222222222214,0.489047619047619,0.11190476190476191,0.11111111111111112,0.11111111111111112
"[(100, 'sigm'), (100, 'sigm')]",OneSidedSelection,0.6618253968253969,0.5288888888888889,0.7947619047619048,0.20523809523809522,0.4711111111111112,0.31777777777777777,0.5976190476190476,0.08190476190476191,0.23777777777777778,0.23777777777777778
"[(100, 'sigm'), (100, 'sigm')]",RandomUnderSampler,0.6370634920634921,0.6422222222222222,0.631904761904762,0.3680952380952382,0.35777777777777775,0.47555555555555556,0.440952380952381,0.21666666666666667,0.2133333333333333,0.2133333333333333
"[(75, 'rbf_linf'), (75, 'rbf_linf')]",ADASYN,0.6635714285714286,0.5333333333333333,0.7938095238095239,0.20619047619047617,0.4666666666666666,0.22111111111111112,0.5228571428571428,0.05095238095238095,0.17777777777777778,0.17777777777777778
"[(100, 'tanh'), (100, 'tanh')]",NearMiss,0.6198412698412697,0.6344444444444445,0.6052380952380952,0.3947619047619047,0.3655555555555556,0.46555555555555556,0.41333333333333333,0.2542857142857143,0.22555555555555554,0.22555555555555554
"[(75, 'rbf_linf'), (75, 'rbf_linf')]",RandomOverSampler,0.6807936507936508,0.6444444444444444,0.7171428571428571,0.28285714285714286,0.3555555555555556,0.4077777777777778,0.5061904761904763,0.1280952380952381,0.1844444444444444,0.1844444444444444
"[(100, 'sigm'), (100, 'sigm')]",TomekLinks,0.6606349206349206,0.5322222222222223,0.789047619047619,0.21095238095238092,0.4677777777777778,0.3055555555555555,0.5976190476190477,0.07619047619047618,0.26666666666666666,0.26666666666666666
"[(100, 'lin'), (100, 'lin')]",OneSidedSelection,0.6805555555555557,0.5144444444444445,0.8466666666666667,0.15333333333333332,0.4855555555555555,0.1922222222222222,0.5995238095238095,0.02619047619047619,0.1877777777777778,0.1877777777777778
"[(100, 'lin'), (100, 'lin')]",RandomUnderSampler,0.7124603174603173,0.7377777777777778,0.6871428571428572,0.31285714285714283,0.2622222222222222,0.4333333333333334,0.4180952380952381,0.13047619047619047,0.09333333333333332,0.09333333333333332
"[(100, 'sigm'), (100, 'sigm')]",ADASYN,0.6629365079365079,0.5577777777777777,0.768095238095238,0.23190476190476192,0.44222222222222224,0.3055555555555555,0.5328571428571428,0.09095238095238097,0.2088888888888889,0.2088888888888889
