C,cache_size,class_weight,decision_function_shape,gamma,kernel,Data balancer,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff
0.01,2048,,ovr,auto,rbf,RandomUnderSampler,0.6613492063492064,0.5355555555555555,0.787142857142857,0.21285714285714286,0.4644444444444445,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.0001,rbf,TomekLinks,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.10535263157894738,rbf,TomekLinks,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.05272631578947369,rbf,TomekLinks,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,auto,rbf,TomekLinks,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.0001,rbf,ADASYN,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.10535263157894738,rbf,ADASYN,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.05272631578947369,rbf,ADASYN,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,auto,rbf,ADASYN,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.0001,rbf,RandomOverSampler,0.6582539682539682,0.5122222222222222,0.8042857142857143,0.19571428571428573,0.4877777777777778,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.10535263157894738,rbf,RandomOverSampler,0.6947619047619048,0.7833333333333333,0.6061904761904761,0.39380952380952383,0.21666666666666667,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.05272631578947369,rbf,RandomOverSampler,0.686984126984127,0.6644444444444445,0.7095238095238096,0.29047619047619044,0.3355555555555556,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,auto,rbf,RandomOverSampler,0.6584126984126984,0.5377777777777778,0.7790476190476191,0.22095238095238093,0.46222222222222215,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.0001,rbf,SMOTE,0.6673809523809524,0.5766666666666667,0.758095238095238,0.24190476190476193,0.42333333333333334,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.10535263157894738,rbf,SMOTE,0.6473809523809525,0.47,0.8247619047619047,0.17523809523809522,0.5299999999999999,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.05272631578947369,rbf,SMOTE,0.6792063492063493,0.6755555555555555,0.6828571428571429,0.31714285714285717,0.3244444444444445,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,auto,rbf,SMOTE,0.6699206349206349,0.6455555555555555,0.6942857142857143,0.30571428571428577,0.3544444444444445,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.0001,rbf,SMOTEENN,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.10535263157894738,rbf,SMOTEENN,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.05272631578947369,rbf,SMOTEENN,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,auto,rbf,SMOTEENN,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.0001,rbf,SMOTETomek,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,auto,rbf,SMOTETomek,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.05272631578947369,rbf,SMOTETomek,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.10535263157894738,rbf,SMOTETomek,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.15797894736842105,rbf,None,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.21060526315789474,rbf,None,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.2632315789473684,rbf,None,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.3158578947368421,rbf,None,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.21060526315789474,rbf,ClusterCentroids,0.6175396825396825,0.9322222222222222,0.3028571428571429,0.6971428571428572,0.06777777777777778,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.2632315789473684,rbf,ClusterCentroids,0.5716666666666667,0.9499999999999998,0.19333333333333336,0.8066666666666666,0.049999999999999996,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.3158578947368421,rbf,ClusterCentroids,0.5498412698412697,0.9644444444444445,0.13523809523809524,0.8647619047619047,0.035555555555555556,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.21060526315789474,rbf,EditedNearestNeighbours,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.2632315789473684,rbf,EditedNearestNeighbours,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.15797894736842105,rbf,ClusterCentroids,0.6607142857142857,0.8700000000000001,0.45142857142857146,0.5485714285714286,0.13,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.3158578947368421,rbf,EditedNearestNeighbours,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.15797894736842105,rbf,EditedNearestNeighbours,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.2632315789473684,rbf,InstanceHardnessThreshold,0.6403174603174603,0.9044444444444445,0.3761904761904762,0.6238095238095239,0.09555555555555555,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.21060526315789474,rbf,InstanceHardnessThreshold,0.6516666666666667,0.8966666666666666,0.4066666666666667,0.5933333333333334,0.10333333333333333,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.2632315789473684,rbf,NearMiss,0.5241269841269841,0.971111111111111,0.07714285714285714,0.9228571428571429,0.028888888888888884,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.3158578947368421,rbf,InstanceHardnessThreshold,0.627063492063492,0.918888888888889,0.33523809523809517,0.6647619047619048,0.08111111111111112,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.21060526315789474,rbf,NearMiss,0.526984126984127,0.9611111111111109,0.09285714285714286,0.9071428571428571,0.03888888888888889,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.15797894736842105,rbf,InstanceHardnessThreshold,0.6657142857142857,0.89,0.44142857142857145,0.5585714285714286,0.10999999999999999,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.3158578947368421,rbf,NearMiss,0.5214285714285715,0.9733333333333333,0.06952380952380953,0.9304761904761906,0.02666666666666666,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.15797894736842105,rbf,NearMiss,0.5335714285714285,0.92,0.14714285714285713,0.8528571428571429,0.08,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.2632315789473684,rbf,NeighbourhoodCleaningRule,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.21060526315789474,rbf,NeighbourhoodCleaningRule,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.3158578947368421,rbf,NeighbourhoodCleaningRule,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.15797894736842105,rbf,NeighbourhoodCleaningRule,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.2632315789473684,rbf,OneSidedSelection,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.2632315789473684,rbf,RandomUnderSampler,0.6054761904761905,0.9400000000000001,0.27095238095238094,0.7290476190476189,0.06,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.21060526315789474,rbf,OneSidedSelection,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.21060526315789474,rbf,RandomUnderSampler,0.6521428571428572,0.7999999999999999,0.5042857142857142,0.4957142857142858,0.19999999999999998,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.2632315789473684,rbf,TomekLinks,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.15797894736842105,rbf,OneSidedSelection,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.3158578947368421,rbf,OneSidedSelection,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.21060526315789474,rbf,TomekLinks,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.15797894736842105,rbf,RandomUnderSampler,0.6715873015873015,0.7488888888888888,0.5942857142857144,0.4057142857142857,0.2511111111111111,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.3158578947368421,rbf,RandomUnderSampler,0.5296825396825396,0.9822222222222222,0.07714285714285715,0.9228571428571429,0.017777777777777778,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.15797894736842105,rbf,TomekLinks,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.2632315789473684,rbf,ADASYN,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.3158578947368421,rbf,TomekLinks,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.21060526315789474,rbf,ADASYN,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.2632315789473684,rbf,RandomOverSampler,0.6238095238095239,0.37000000000000005,0.8776190476190476,0.12238095238095238,0.63,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.15797894736842105,rbf,ADASYN,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.3158578947368421,rbf,ADASYN,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.21060526315789474,rbf,RandomOverSampler,0.686904761904762,0.6633333333333334,0.7104761904761906,0.2895238095238095,0.3366666666666666,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.15797894736842105,rbf,RandomOverSampler,0.7023809523809524,0.7966666666666667,0.6080952380952381,0.3919047619047619,0.20333333333333334,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.3158578947368421,rbf,RandomOverSampler,0.541904761904762,0.11333333333333334,0.9704761904761906,0.029523809523809525,0.8866666666666667,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.2632315789473684,rbf,SMOTE,0.5243650793650794,0.06777777777777777,0.980952380952381,0.019047619047619046,0.9322222222222222,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.21060526315789474,rbf,SMOTE,0.557063492063492,0.15888888888888889,0.9552380952380952,0.04476190476190476,0.8411111111111111,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.15797894736842105,rbf,SMOTE,0.5977777777777777,0.2888888888888889,0.9066666666666666,0.09333333333333334,0.7111111111111111,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.3158578947368421,rbf,SMOTE,0.5127777777777778,0.03222222222222223,0.9933333333333335,0.006666666666666667,0.9677777777777777,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.2632315789473684,rbf,SMOTEENN,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.21060526315789474,rbf,SMOTEENN,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.15797894736842105,rbf,SMOTEENN,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.3158578947368421,rbf,SMOTEENN,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.2632315789473684,rbf,SMOTETomek,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.21060526315789474,rbf,SMOTETomek,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.3684842105263158,rbf,None,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.4211105263157895,rbf,None,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.15797894736842105,rbf,SMOTETomek,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.3158578947368421,rbf,SMOTETomek,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.4737368421052632,rbf,None,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.5263631578947369,rbf,None,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.4211105263157895,rbf,ClusterCentroids,0.5632539682539682,0.9555555555555556,0.17095238095238097,0.8290476190476189,0.044444444444444446,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.4737368421052632,rbf,ClusterCentroids,0.5853174603174603,0.8377777777777778,0.33285714285714285,0.6671428571428571,0.16222222222222224,0.0,0.0,0.0,0.0,0.0
0.01,2048,,ovr,0.4211105263157895,rbf,EditedNearestNeighbours,0.5,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
