C,cache_size,class_weight,decision_function_shape,kernel,max_iter,Data balancer,Matthews correlation coefficient,Cohen Kappa Score,Balanced Accuracy,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff,
0.535789474,2048,None,ovr,linear,10000,NearMiss,0.377041628,0.355763607,0.698330972,0.7709628,0.625699145,0.374300855,0.2290372,0,0,0,0,0,18.30854575
1.061578947,2048,None,ovr,linear,10000,NearMiss,0.385748947,0.365629085,0.702954449,0.77015533,0.635753569,0.364246431,0.22984467,0,0,0,0,0,17.01004251
0.535789474,2048,balanced,ovr,linear,10000,InstanceHardnessThreshold,0.463681385,0.425192612,0.742791141,0.868243767,0.617338515,0.382661485,0.131756233,0,0,0,0,0,11.49763703
1.587368421,2048,None,ovr,linear,10000,NearMiss,0.395612299,0.377069745,0.708144652,0.767938601,0.648350704,0.351649296,0.232061399,0,0,0,0,0,19.37000553
1.061578947,2048,balanced,ovr,linear,10000,NearMiss,0.385748947,0.365629085,0.702954449,0.77015533,0.635753569,0.364246431,0.22984467,0,0,0,0,0,21.52579069
1.587368421,2048,balanced,ovr,linear,10000,NearMiss,0.395612299,0.377069745,0.708144652,0.767938601,0.648350704,0.351649296,0.232061399,0,0,0,0,0,19.94176825
0.01,2048,None,ovr,linear,10000,InstanceHardnessThreshold,0.373999752,0.373642376,0.689336314,0.611975343,0.766697286,0.233302714,0.388024657,0,0,0,0,0,21.66553068
0.535789474,2048,balanced,ovr,linear,10000,NearMiss,0.377041628,0.355763607,0.698330972,0.7709628,0.625699145,0.374300855,0.2290372,0,0,0,0,0,24.79257139
1.061578947,2048,None,ovr,linear,10000,NeighbourhoodCleaningRule,0.494876807,0.470023382,0.76041926,0.842213678,0.678624843,0.321375157,0.157786322,0,0,0,0,0,19.4884336
0.535789474,2048,None,ovr,linear,10000,NeighbourhoodCleaningRule,0.493526658,0.467381914,0.759696034,0.8458476,0.673544469,0.326455531,0.1541524,0,0,0,0,0,20.15658855
0.01,2048,balanced,ovr,linear,10000,InstanceHardnessThreshold,0.374064876,0.373702909,0.689384414,0.612177363,0.766591465,0.233408535,0.387822637,0,0,0,0,0,22.68994371
1.587368421,2048,None,ovr,linear,10000,NeighbourhoodCleaningRule,0.49361664,0.469446101,0.759753195,0.839188257,0.680318133,0.319681867,0.160811743,0,0,0,0,0,20.554521
1.061578947,2048,balanced,ovr,linear,10000,NeighbourhoodCleaningRule,0.490698155,0.463633614,0.758168416,0.847458879,0.668877954,0.331122046,0.152541121,0,0,0,0,0,22.6887908
1.587368421,2048,balanced,ovr,linear,10000,NeighbourhoodCleaningRule,0.489142449,0.463117797,0.757374596,0.843224389,0.671524802,0.328475198,0.156775611,0,0,0,0,0,21.82279491
0.01,2048,None,ovr,linear,10000,NearMiss,0.205208576,0.201459835,0.607077648,0.57585767,0.638297625,0.361702375,0.42414233,0,0,0,0,0,32.74995732
0.535789474,2048,balanced,ovr,linear,10000,NeighbourhoodCleaningRule,0.489222836,0.460725521,0.757335927,0.851296042,0.663375813,0.336624187,0.148703958,0,0,0,0,0,24.4858013
0.01,2048,balanced,ovr,linear,10000,NearMiss,0.205208576,0.201459835,0.607077648,0.57585767,0.638297625,0.361702375,0.42414233,0,0,0,0,0,30.49229733
