algorithm,leaf_size,n_neighbors,p,weights,Data balancer,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff
auto,20,65,3,distance,SMOTETomek,0.432234333,0.202906755,0.726710998,0.833123379,0.620298618,0.379701382,0.166876621,0.685415484,0.49528436,0.192658541,0.106130184,0.106130184
auto,20,80,3,uniform,TomekLinks,0.476082765,0.158855283,0.740452526,0.676530257,0.804374795,0.195625205,0.323469743,0.252617413,0.598282652,0.03080425,0.106932772,0.106932772
auto,20,110,2,distance,None,0.490031215,0.165066611,0.751086622,0.717695993,0.78447725,0.21552275,0.282304007,0.412419055,0.515715211,0.042449845,0.106532393,0.106532393
auto,20,80,3,distance,TomekLinks,0.507671996,0.156283833,0.759166544,0.720516952,0.797816135,0.202183865,0.279483048,0.457613598,0.619875842,0.059705083,0.127117092,0.127117092
auto,20,110,1,uniform,ClusterCentroids,0.066826555,0.466732373,0.507391491,0.9985883,0.016194682,0.983805318,0.0014117,0.987488785,0.01026741,0.939876515,0,0
auto,20,110,1,distance,ClusterCentroids,0.056884478,0.483687446,0.506488126,0.996569929,0.016406322,0.983593678,0.003430071,0.984460313,0.010479219,0.927386378,0.00060545,0.00060545
auto,20,110,1,uniform,EditedNearestNeighbours,0.281783523,0.335195283,0.62790308,0.917291342,0.338514817,0.661485183,0.082708658,0.869654857,0.220376511,0.536473953,0.035699594,0.035699594
auto,20,110,1,distance,EditedNearestNeighbours,0.309370107,0.340870577,0.642153662,0.929387531,0.354919794,0.645080206,0.070612469,0.893666575,0.266219497,0.545052279,0.047208032,0.047208032
auto,20,110,2,uniform,ClusterCentroids,0.216043846,0.35726486,0.573688541,0.977802801,0.16957428,0.83042572,0.022197199,0.874896396,0.070497725,0.605593661,0.008880344,0.008880344
auto,20,110,2,uniform,EditedNearestNeighbours,0.339784012,0.278166326,0.664976879,0.905383137,0.424570621,0.575429379,0.094616863,0.802659831,0.264309351,0.384571967,0.038726235,0.038726235
auto,20,110,2,distance,ClusterCentroids,0.217739127,0.371239451,0.575826276,0.974774329,0.176878223,0.823121777,0.025225671,0.882961946,0.073038248,0.58548128,0.010493454,0.010493454
