class_weight,criterion,max_depth,max_features,max_leaf_nodes,min_samples_leaf,min_samples_split,splitter,Data balancer,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff
,gini,,auto,,2,2,random,NearMiss,0.341317198,0.240409379,0.677540366,0.801258507,0.553822226,0.446177774,0.198741493,0.621415972,0.468509181,0.294479522,0.11560011,0.11560011
,gini,,auto,,3,2,random,NearMiss,0.328671783,0.240643975,0.669908579,0.801029632,0.538787527,0.461212473,0.198970368,0.604927218,0.454853677,0.308580345,0.117625195,0.117625195
,gini,,auto,,2,3,best,NearMiss,0.335277615,0.254023259,0.674775326,0.788953584,0.560597068,0.439402932,0.211046416,0.587960572,0.466074646,0.250761686,0.112390369,0.112390369
,gini,,auto,,3,3,best,InstanceHardnessThreshold,0.476169574,0.232462704,0.750039314,0.853306479,0.64677215,0.35322785,0.146693521,0.805898257,0.57161649,0.304857631,0.095842412,0.095842412
,gini,,auto,,3,2,best,InstanceHardnessThreshold,0.476169574,0.232462704,0.750039314,0.853306479,0.64677215,0.35322785,0.146693521,0.805898257,0.57161649,0.304857631,0.095842412,0.095842412
,gini,,auto,,3,3,random,InstanceHardnessThreshold,0.416721643,0.226142143,0.71625389,0.830520919,0.601986861,0.398013139,0.169479081,0.699735116,0.51422986,0.23371506,0.109151332,0.109151332
,gini,,auto,,3,3,best,NearMiss,0.338947643,0.247862982,0.675092308,0.816998993,0.533185623,0.466814377,0.183001007,0.570382984,0.456017867,0.274810777,0.10693033,0.10693033
,gini,,auto,,2,2,best,NeighbourhoodCleaningRule,0.502122575,0.205715435,0.763706143,0.826666667,0.70074562,0.29925438,0.173333333,0.746352956,0.597018699,0.240612714,0.105126186,0.105126186
,gini,,auto,,3,2,best,NearMiss,0.338947643,0.247862982,0.675092308,0.816998993,0.533185623,0.466814377,0.183001007,0.570382984,0.456017867,0.274810777,0.10693033,0.10693033
,gini,,auto,,2,3,random,NeighbourhoodCleaningRule,0.482223659,0.194868195,0.750134861,0.763318991,0.736950732,0.263049268,0.236681009,0.676945894,0.515402125,0.18682935,0.091007355,0.091007355
,gini,,auto,,2,2,random,NeighbourhoodCleaningRule,0.482223659,0.194868195,0.750134861,0.763318991,0.736950732,0.263049268,0.236681009,0.676945894,0.515402125,0.18682935,0.091007355,0.091007355
