C,class_weight,fit_intercept,intercept_scaling,solver,Data balancer,Matthews correlation coefficient,Brier Score,Balanced Accuracy,AUC Score,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff
1,,TRUE,1,liblinear,OneSidedSelection,0.542827259,0.134859956,0.755493395,0.611975343,0.899011448,0.100988552,0.388024657,0.445508255,0.718955931,0.033026135,0.158190973,0.158190973
1,,TRUE,0.1,liblinear,RandomUnderSampler,0.524257902,0.156414905,0.773822213,0.800636577,0.747007848,0.252992152,0.199363423,0.562751991,0.52090191,0.085425089,0.064164912,0.064164912
1,,TRUE,1,liblinear,RandomUnderSampler,0.527305537,0.155976666,0.775342763,0.801242638,0.749442888,0.250557112,0.198757362,0.562952791,0.524183343,0.08457836,0.064568342,0.064568342
1,,TRUE,3.366666667,liblinear,RandomUnderSampler,0.52780857,0.15589684,0.775602587,0.801444658,0.749760517,0.250239483,0.198555342,0.563154201,0.524500803,0.08447254,0.064770362,0.064770362
1,,TRUE,1.733333333,liblinear,OneSidedSelection,0.543162077,0.134823992,0.755695111,0.612378773,0.899011448,0.100988552,0.387621227,0.445104214,0.719379211,0.032814327,0.158595014,0.158595014
1,,TRUE,1.733333333,liblinear,RandomUnderSampler,0.527517478,0.155919915,0.775448583,0.801242638,0.749654528,0.250345472,0.198757362,0.563154201,0.524289163,0.08457836,0.064770362,0.064770362
1,,TRUE,0.1,liblinear,TomekLinks,0.543020723,0.135109205,0.755642116,0.612378773,0.89890546,0.10109454,0.387621227,0.448132076,0.716097442,0.0333441,0.157182703,0.157182703
1,,TRUE,3.366666667,liblinear,TomekLinks,0.542497181,0.134741761,0.755339086,0.611772712,0.89890546,0.10109454,0.388227288,0.445306845,0.719590851,0.032920484,0.159200464,0.159200464
1,,TRUE,1,liblinear,TomekLinks,0.542509857,0.134791283,0.755339086,0.611772712,0.89890546,0.10109454,0.388227288,0.445306845,0.719273391,0.033132124,0.158595014,0.158595014
1,,TRUE,1.733333333,liblinear,TomekLinks,0.542656124,0.134755595,0.755391996,0.611772712,0.89901128,0.10098872,0.388227288,0.445306845,0.719590851,0.033026304,0.158999054,0.158999054
1,,TRUE,0.1,liblinear,ADASYN,0.53332406,0.157796368,0.779649961,0.843416644,0.715883278,0.284116722,0.156583356,0.564965669,0.509684138,0.080237885,0.058717691,0.058717691
1,,TRUE,1,liblinear,ADASYN,0.53348617,0.157425485,0.779828184,0.844830785,0.714825582,0.285174418,0.155169215,0.565166468,0.512118505,0.079602964,0.05932253,0.05932253
1,,TRUE,3.366666667,liblinear,ADASYN,0.534223637,0.157366754,0.780227193,0.845840276,0.71461411,0.28538589,0.154159724,0.564965058,0.512329809,0.079497144,0.05932253,0.05932253
1,,TRUE,0.1,liblinear,RandomOverSampler,0.546551138,0.145345421,0.78342062,0.788925509,0.777915731,0.222084269,0.211074491,0.551646983,0.556892691,0.067007512,0.071233178,0.071233178
1,,TRUE,1.733333333,liblinear,ADASYN,0.534223637,0.157384457,0.780227193,0.845840276,0.71461411,0.28538589,0.154159724,0.564965058,0.512329809,0.079497144,0.05932253,0.05932253
1,,TRUE,1,liblinear,RandomOverSampler,0.546530868,0.144969738,0.783291444,0.787714608,0.77886828,0.22113172,0.212285392,0.551645152,0.559327226,0.066583895,0.070829137,0.070829137
1,,TRUE,3.366666667,liblinear,RandomOverSampler,0.546894388,0.144908048,0.783493159,0.788118038,0.77886828,0.22113172,0.211881962,0.551846562,0.559962315,0.066795535,0.071030547,0.071030547
1,,TRUE,1.733333333,liblinear,RandomOverSampler,0.546712584,0.144925515,0.783392149,0.787916018,0.77886828,0.22113172,0.212083982,0.551645152,0.559750507,0.066689715,0.071030547,0.071030547
1,,TRUE,0.1,liblinear,SMOTE,0.546430118,0.145094854,0.783048744,0.784689188,0.781408299,0.218591701,0.215310812,0.558709146,0.569278186,0.069335049,0.077889469,0.077889469
1,,TRUE,1,liblinear,SMOTE,0.547027329,0.144680879,0.783188875,0.783275657,0.783102094,0.216897906,0.216724343,0.557500076,0.571606565,0.069335218,0.078090879,0.078090879
1,,TRUE,3.366666667,liblinear,SMOTE,0.547136503,0.144612473,0.783241564,0.783275047,0.783208082,0.216791918,0.216724953,0.557097257,0.572241653,0.068911432,0.078292288,0.078292288
1,,TRUE,1.733333333,liblinear,SMOTE,0.546956574,0.144632826,0.783140859,0.783073637,0.783208082,0.216791918,0.216926363,0.557097257,0.572135833,0.069017421,0.078292288,0.078292288
1,,TRUE,0.1,liblinear,SMOTEENN,0.543176008,0.138432566,0.753602651,0.602903354,0.904301949,0.095698051,0.397096646,0.469726266,0.782256374,0.03683751,0.23365681,0.23365681
1,,TRUE,1,liblinear,SMOTEENN,0.545144803,0.137461856,0.754766136,0.604911349,0.904620923,0.095379077,0.395088651,0.470332937,0.788395118,0.034825918,0.233048918,0.233048918
1,,TRUE,3.366666667,liblinear,SMOTEENN,0.546055326,0.137248839,0.75570173,0.607734749,0.903668711,0.096331289,0.392265251,0.471947878,0.790088744,0.034720435,0.232845677,0.232845677
1,,TRUE,1.733333333,liblinear,SMOTEENN,0.544578421,0.137313422,0.754985702,0.606726479,0.903244926,0.096755074,0.393273521,0.471947267,0.789347835,0.034720266,0.232643657,0.232643657
1,,TRUE,0.1,liblinear,SMOTETomek,0.546396523,0.14400162,0.782044554,0.774001038,0.790088071,0.209911929,0.225998962,0.554672404,0.581979963,0.066582885,0.084552473,0.084552473
1,,TRUE,1,liblinear,SMOTETomek,0.546568945,0.143557213,0.78201581,0.772990326,0.791041293,0.208958707,0.227009674,0.554676676,0.584837611,0.066477234,0.084954072,0.084954072
1,,TRUE,3.366666667,liblinear,SMOTETomek,0.546636098,0.143484824,0.782150269,0.773999817,0.790300721,0.209699279,0.226000183,0.554677286,0.585684172,0.066265762,0.084954072,0.084954072
