Feature selection strategy,Classifier description,Matthews correlation coefficient,Cohen Kappa score,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,initialisation_values
chi2,Extreme Learning Machine,0.27610477728195293,0.23647408083627161,0.6959728591606721,0.6371244064577397,0.7548213118636039,0.24517868813639584,0.36287559354226023,"[1376828152, 1541316946, 990523308, 600075587, 294976744, 1194596873, 144620823, 1160649019, 1286741578, 1789908567, 646876727, 2031326477, 1309352117, 1420399196, 890394338, 1194030569, 357650346, 238474318, 840258736, 487442518, 1026239392, 1006173273, 2046040485, 1109116575, 1984340147, 670690076, 930964573, 38099514, 2080595313, 1486827578, 1992549476, 2146343220, 1140305355, 1786735543, 2115769245, 1069077591, 31535998, 56692567, 898274843, 855588089, 1164551158, 1101774516, 1384178846, 2129556748, 1722792301, 576923284, 139123585, 858478381, 1887781625, 1805736741, 1827264663, 474482382, 2029572209, 117075333, 270697303, 1488157344, 1072602567, 1522884015, 1641432860, 907277245, 450383361, 1997899283, 621824765, 677171228, 1889667969, 1930359164, 1845104038, 1376696621, 1885101232, 197649490, 62979851, 1694716792, 1283359926, 529871231, 1265239209]"
chi2,Gaussian Naive Bayes,0.069527691856027224,0.010581939571776323,0.5220880660085332,0.9956429249762584,0.048533207040808275,0.9514667929591916,0.004357075023741691,"[1376828152, 1541316946, 990523308, 600075587, 294976744, 1194596873, 144620823, 1160649019, 1286741578, 1789908567, 646876727, 2031326477, 1309352117, 1420399196, 890394338, 1194030569, 357650346, 238474318, 840258736, 487442518, 1026239392, 1006173273, 2046040485, 1109116575, 1984340147, 670690076, 930964573, 38099514, 2080595313, 1486827578, 1992549476, 2146343220, 1140305355, 1786735543, 2115769245, 1069077591, 31535998, 56692567, 898274843, 855588089, 1164551158, 1101774516, 1384178846, 2129556748, 1722792301, 576923284, 139123585, 858478381, 1887781625, 1805736741, 1827264663, 474482382, 2029572209, 117075333, 270697303, 1488157344, 1072602567, 1522884015, 1641432860, 907277245, 450383361, 1997899283, 621824765, 677171228, 1889667969, 1930359164, 1845104038, 1376696621, 1885101232, 197649490, 62979851, 1694716792, 1283359926, 529871231, 1265239209]"
chi2,Logistic regression,0.29612702806494706,0.24734171150264994,0.7143807371516583,0.688991452991453,0.7397700213118634,0.26022997868813624,0.3110085470085471,"[1376828152, 1541316946, 990523308, 600075587, 294976744, 1194596873, 144620823, 1160649019, 1286741578, 1789908567, 646876727, 2031326477, 1309352117, 1420399196, 890394338, 1194030569, 357650346, 238474318, 840258736, 487442518, 1026239392, 1006173273, 2046040485, 1109116575, 1984340147, 670690076, 930964573, 38099514, 2080595313, 1486827578, 1992549476, 2146343220, 1140305355, 1786735543, 2115769245, 1069077591, 31535998, 56692567, 898274843, 855588089, 1164551158, 1101774516, 1384178846, 2129556748, 1722792301, 576923284, 139123585, 858478381, 1887781625, 1805736741, 1827264663, 474482382, 2029572209, 117075333, 270697303, 1488157344, 1072602567, 1522884015, 1641432860, 907277245, 450383361, 1997899283, 621824765, 677171228, 1889667969, 1930359164, 1845104038, 1376696621, 1885101232, 197649490, 62979851, 1694716792, 1283359926, 529871231, 1265239209]"
chi2,Random forest,0.28867809539716,0.2534028938166854,0.7004235055215874,0.6251509971509971,0.7756960138921777,0.2243039861078222,0.3748490028490029,"[1376828152, 1541316946, 990523308, 600075587, 294976744, 1194596873, 144620823, 1160649019, 1286741578, 1789908567, 646876727, 2031326477, 1309352117, 1420399196, 890394338, 1194030569, 357650346, 238474318, 840258736, 487442518, 1026239392, 1006173273, 2046040485, 1109116575, 1984340147, 670690076, 930964573, 38099514, 2080595313, 1486827578, 1992549476, 2146343220, 1140305355, 1786735543, 2115769245, 1069077591, 31535998, 56692567, 898274843, 855588089, 1164551158, 1101774516, 1384178846, 2129556748, 1722792301, 576923284, 139123585, 858478381, 1887781625, 1805736741, 1827264663, 474482382, 2029572209, 117075333, 270697303, 1488157344, 1072602567, 1522884015, 1641432860, 907277245, 450383361, 1997899283, 621824765, 677171228, 1889667969, 1930359164, 1845104038, 1376696621, 1885101232, 197649490, 62979851, 1694716792, 1283359926, 529871231, 1265239209]"
chi2,SVM (RDF),0.28471676387620592,0.24975949701783401,0.6977010941079456,0.6213067426400758,0.774095445575815,0.22590455442418503,0.3786932573599239,"[1376828152, 1541316946, 990523308, 600075587, 294976744, 1194596873, 144620823, 1160649019, 1286741578, 1789908567, 646876727, 2031326477, 1309352117, 1420399196, 890394338, 1194030569, 357650346, 238474318, 840258736, 487442518, 1026239392, 1006173273, 2046040485, 1109116575, 1984340147, 670690076, 930964573, 38099514, 2080595313, 1486827578, 1992549476, 2146343220, 1140305355, 1786735543, 2115769245, 1069077591, 31535998, 56692567, 898274843, 855588089, 1164551158, 1101774516, 1384178846, 2129556748, 1722792301, 576923284, 139123585, 858478381, 1887781625, 1805736741, 1827264663, 474482382, 2029572209, 117075333, 270697303, 1488157344, 1072602567, 1522884015, 1641432860, 907277245, 450383361, 1997899283, 621824765, 677171228, 1889667969, 1930359164, 1845104038, 1376696621, 1885101232, 197649490, 62979851, 1694716792, 1283359926, 529871231, 1265239209]"
chi2,SVM (linear),0.30214039172928286,0.27067642824339738,0.7055060012112027,0.6168926875593541,0.7941193148630515,0.2058806851369485,0.3831073124406457,"[1376828152, 1541316946, 990523308, 600075587, 294976744, 1194596873, 144620823, 1160649019, 1286741578, 1789908567, 646876727, 2031326477, 1309352117, 1420399196, 890394338, 1194030569, 357650346, 238474318, 840258736, 487442518, 1026239392, 1006173273, 2046040485, 1109116575, 1984340147, 670690076, 930964573, 38099514, 2080595313, 1486827578, 1992549476, 2146343220, 1140305355, 1786735543, 2115769245, 1069077591, 31535998, 56692567, 898274843, 855588089, 1164551158, 1101774516, 1384178846, 2129556748, 1722792301, 576923284, 139123585, 858478381, 1887781625, 1805736741, 1827264663, 474482382, 2029572209, 117075333, 270697303, 1488157344, 1072602567, 1522884015, 1641432860, 907277245, 450383361, 1997899283, 621824765, 677171228, 1889667969, 1930359164, 1845104038, 1376696621, 1885101232, 197649490, 62979851, 1694716792, 1283359926, 529871231, 1265239209]"
chi2,SVM (polynomial),0.33004332758224686,0.31776501187459111,0.7005187315247146,0.5396733143399811,0.8613641487094484,0.13863585129055173,0.4603266856600189,"[1376828152, 1541316946, 990523308, 600075587, 294976744, 1194596873, 144620823, 1160649019, 1286741578, 1789908567, 646876727, 2031326477, 1309352117, 1420399196, 890394338, 1194030569, 357650346, 238474318, 840258736, 487442518, 1026239392, 1006173273, 2046040485, 1109116575, 1984340147, 670690076, 930964573, 38099514, 2080595313, 1486827578, 1992549476, 2146343220, 1140305355, 1786735543, 2115769245, 1069077591, 31535998, 56692567, 898274843, 855588089, 1164551158, 1101774516, 1384178846, 2129556748, 1722792301, 576923284, 139123585, 858478381, 1887781625, 1805736741, 1827264663, 474482382, 2029572209, 117075333, 270697303, 1488157344, 1072602567, 1522884015, 1641432860, 907277245, 450383361, 1997899283, 621824765, 677171228, 1889667969, 1930359164, 1845104038, 1376696621, 1885101232, 197649490, 62979851, 1694716792, 1283359926, 529871231, 1265239209]"
Logistic regression,AdaBoost,0.30910081236343306,0.26078462811338859,0.7220812630331931,0.6951225071225073,0.7490400189438785,0.25095998105612116,0.30487749287749294,"[1376828152, 1541316946, 990523308, 600075587, 294976744, 1194596873, 144620823, 1160649019, 1286741578, 1789908567, 646876727, 2031326477, 1309352117, 1420399196, 890394338, 1194030569, 357650346, 238474318, 840258736, 487442518, 1026239392, 1006173273, 2046040485, 1109116575, 1984340147, 670690076, 930964573, 38099514, 2080595313, 1486827578, 1992549476, 2146343220, 1140305355, 1786735543, 2115769245, 1069077591, 31535998, 56692567, 898274843, 855588089, 1164551158, 1101774516, 1384178846, 2129556748, 1722792301, 576923284, 139123585, 858478381, 1887781625, 1805736741, 1827264663, 474482382, 2029572209, 117075333, 270697303, 1488157344, 1072602567, 1522884015, 1641432860, 907277245, 450383361, 1997899283, 621824765, 677171228, 1889667969, 1930359164, 1845104038, 1376696621, 1885101232, 197649490, 62979851, 1694716792, 1283359926, 529871231, 1265239209]"
Logistic regression,Artificial neural network,0.29699840946915562,0.24737460779213663,0.715397236451495,0.6930902184235517,0.7377042544794379,0.26229574552056195,0.30690978157644816,"[1376828152, 1541316946, 990523308, 600075587, 294976744, 1194596873, 144620823, 1160649019, 1286741578, 1789908567, 646876727, 2031326477, 1309352117, 1420399196, 890394338, 1194030569, 357650346, 238474318, 840258736, 487442518, 1026239392, 1006173273, 2046040485, 1109116575, 1984340147, 670690076, 930964573, 38099514, 2080595313, 1486827578, 1992549476, 2146343220, 1140305355, 1786735543, 2115769245, 1069077591, 31535998, 56692567, 898274843, 855588089, 1164551158, 1101774516, 1384178846, 2129556748, 1722792301, 576923284, 139123585, 858478381, 1887781625, 1805736741, 1827264663, 474482382, 2029572209, 117075333, 270697303, 1488157344, 1072602567, 1522884015, 1641432860, 907277245, 450383361, 1997899283, 621824765, 677171228, 1889667969, 1930359164, 1845104038, 1376696621, 1885101232, 197649490, 62979851, 1694716792, 1283359926, 529871231, 1265239209]"
Logistic regression,Bernoulli Naive Bayes,0.33989199010035664,0.30400171684070704,0.7317367685979573,0.6644558404558405,0.7990176967400743,0.20098230325992586,0.3355441595441594,"[1376828152, 1541316946, 990523308, 600075587, 294976744, 1194596873, 144620823, 1160649019, 1286741578, 1789908567, 646876727, 2031326477, 1309352117, 1420399196, 890394338, 1194030569, 357650346, 238474318, 840258736, 487442518, 1026239392, 1006173273, 2046040485, 1109116575, 1984340147, 670690076, 930964573, 38099514, 2080595313, 1486827578, 1992549476, 2146343220, 1140305355, 1786735543, 2115769245, 1069077591, 31535998, 56692567, 898274843, 855588089, 1164551158, 1101774516, 1384178846, 2129556748, 1722792301, 576923284, 139123585, 858478381, 1887781625, 1805736741, 1827264663, 474482382, 2029572209, 117075333, 270697303, 1488157344, 1072602567, 1522884015, 1641432860, 907277245, 450383361, 1997899283, 621824765, 677171228, 1889667969, 1930359164, 1845104038, 1376696621, 1885101232, 197649490, 62979851, 1694716792, 1283359926, 529871231, 1265239209]"
Logistic regression,Decision Tree,0.26064192110001316,0.22849117086567058,0.6802407457555614,0.593770180436847,0.7667113110742758,0.23328868892572424,0.40622981956315285,"[1376828152, 1541316946, 990523308, 600075587, 294976744, 1194596873, 144620823, 1160649019, 1286741578, 1789908567, 646876727, 2031326477, 1309352117, 1420399196, 890394338, 1194030569, 357650346, 238474318, 840258736, 487442518, 1026239392, 1006173273, 2046040485, 1109116575, 1984340147, 670690076, 930964573, 38099514, 2080595313, 1486827578, 1992549476, 2146343220, 1140305355, 1786735543, 2115769245, 1069077591, 31535998, 56692567, 898274843, 855588089, 1164551158, 1101774516, 1384178846, 2129556748, 1722792301, 576923284, 139123585, 858478381, 1887781625, 1805736741, 1827264663, 474482382, 2029572209, 117075333, 270697303, 1488157344, 1072602567, 1522884015, 1641432860, 907277245, 450383361, 1997899283, 621824765, 677171228, 1889667969, 1930359164, 1845104038, 1376696621, 1885101232, 197649490, 62979851, 1694716792, 1283359926, 529871231, 1265239209]"
Logistic regression,Extreme Learning Machine,0.28148010551508046,0.2389465933631133,0.7011579038409256,0.6532535612535608,0.7490622464282894,0.2509377535717105,0.3467464387464387,"[1376828152, 1541316946, 990523308, 600075587, 294976744, 1194596873, 144620823, 1160649019, 1286741578, 1789908567, 646876727, 2031326477, 1309352117, 1420399196, 890394338, 1194030569, 357650346, 238474318, 840258736, 487442518, 1026239392, 1006173273, 2046040485, 1109116575, 1984340147, 670690076, 930964573, 38099514, 2080595313, 1486827578, 1992549476, 2146343220, 1140305355, 1786735543, 2115769245, 1069077591, 31535998, 56692567, 898274843, 855588089, 1164551158, 1101774516, 1384178846, 2129556748, 1722792301, 576923284, 139123585, 858478381, 1887781625, 1805736741, 1827264663, 474482382, 2029572209, 117075333, 270697303, 1488157344, 1072602567, 1522884015, 1641432860, 907277245, 450383361, 1997899283, 621824765, 677171228, 1889667969, 1930359164, 1845104038, 1376696621, 1885101232, 197649490, 62979851, 1694716792, 1283359926, 529871231, 1265239209]"
Logistic regression,Gaussian Naive Bayes,0.073170196179209238,0.013843887442139012,0.5282983162570817,0.9846647673314347,0.07193186518272947,0.9280681348172706,0.015335232668566012,"[1376828152, 1541316946, 990523308, 600075587, 294976744, 1194596873, 144620823, 1160649019, 1286741578, 1789908567, 646876727, 2031326477, 1309352117, 1420399196, 890394338, 1194030569, 357650346, 238474318, 840258736, 487442518, 1026239392, 1006173273, 2046040485, 1109116575, 1984340147, 670690076, 930964573, 38099514, 2080595313, 1486827578, 1992549476, 2146343220, 1140305355, 1786735543, 2115769245, 1069077591, 31535998, 56692567, 898274843, 855588089, 1164551158, 1101774516, 1384178846, 2129556748, 1722792301, 576923284, 139123585, 858478381, 1887781625, 1805736741, 1827264663, 474482382, 2029572209, 117075333, 270697303, 1488157344, 1072602567, 1522884015, 1641432860, 907277245, 450383361, 1997899283, 621824765, 677171228, 1889667969, 1930359164, 1845104038, 1376696621, 1885101232, 197649490, 62979851, 1694716792, 1283359926, 529871231, 1265239209]"
Logistic regression,Logistic regression,0.29619544285919608,0.24594264653638609,0.7152976944642903,0.695278252611586,0.7353171363169945,0.2646828636830058,0.304721747388414,"[1376828152, 1541316946, 990523308, 600075587, 294976744, 1194596873, 144620823, 1160649019, 1286741578, 1789908567, 646876727, 2031326477, 1309352117, 1420399196, 890394338, 1194030569, 357650346, 238474318, 840258736, 487442518, 1026239392, 1006173273, 2046040485, 1109116575, 1984340147, 670690076, 930964573, 38099514, 2080595313, 1486827578, 1992549476, 2146343220, 1140305355, 1786735543, 2115769245, 1069077591, 31535998, 56692567, 898274843, 855588089, 1164551158, 1101774516, 1384178846, 2129556748, 1722792301, 576923284, 139123585, 858478381, 1887781625, 1805736741, 1827264663, 474482382, 2029572209, 117075333, 270697303, 1488157344, 1072602567, 1522884015, 1641432860, 907277245, 450383361, 1997899283, 621824765, 677171228, 1889667969, 1930359164, 1845104038, 1376696621, 1885101232, 197649490, 62979851, 1694716792, 1283359926, 529871231, 1265239209]"
Logistic regression,Random forest,0.29601821917812521,0.25768452395245306,0.7069815307526569,0.6434795821462487,0.7704834793590654,0.22951652064093453,0.3565204178537512,"[1376828152, 1541316946, 990523308, 600075587, 294976744, 1194596873, 144620823, 1160649019, 1286741578, 1789908567, 646876727, 2031326477, 1309352117, 1420399196, 890394338, 1194030569, 357650346, 238474318, 840258736, 487442518, 1026239392, 1006173273, 2046040485, 1109116575, 1984340147, 670690076, 930964573, 38099514, 2080595313, 1486827578, 1992549476, 2146343220, 1140305355, 1786735543, 2115769245, 1069077591, 31535998, 56692567, 898274843, 855588089, 1164551158, 1101774516, 1384178846, 2129556748, 1722792301, 576923284, 139123585, 858478381, 1887781625, 1805736741, 1827264663, 474482382, 2029572209, 117075333, 270697303, 1488157344, 1072602567, 1522884015, 1641432860, 907277245, 450383361, 1997899283, 621824765, 677171228, 1889667969, 1930359164, 1845104038, 1376696621, 1885101232, 197649490, 62979851, 1694716792, 1283359926, 529871231, 1265239209]"
Logistic regression,SVM (RDF),0.28847392542804179,0.25224501604311078,0.7008566838452385,0.6296562203228869,0.7720571473675901,0.2279428526324098,0.37034377967711324,"[1376828152, 1541316946, 990523308, 600075587, 294976744, 1194596873, 144620823, 1160649019, 1286741578, 1789908567, 646876727, 2031326477, 1309352117, 1420399196, 890394338, 1194030569, 357650346, 238474318, 840258736, 487442518, 1026239392, 1006173273, 2046040485, 1109116575, 1984340147, 670690076, 930964573, 38099514, 2080595313, 1486827578, 1992549476, 2146343220, 1140305355, 1786735543, 2115769245, 1069077591, 31535998, 56692567, 898274843, 855588089, 1164551158, 1101774516, 1384178846, 2129556748, 1722792301, 576923284, 139123585, 858478381, 1887781625, 1805736741, 1827264663, 474482382, 2029572209, 117075333, 270697303, 1488157344, 1072602567, 1522884015, 1641432860, 907277245, 450383361, 1997899283, 621824765, 677171228, 1889667969, 1930359164, 1845104038, 1376696621, 1885101232, 197649490, 62979851, 1694716792, 1283359926, 529871231, 1265239209]"
Logistic regression,SVM (linear),0.30571197888070095,0.27520755162265009,0.706808656614987,0.6151073124406455,0.798510000789328,0.2014899992106717,0.3848926875593542,"[1376828152, 1541316946, 990523308, 600075587, 294976744, 1194596873, 144620823, 1160649019, 1286741578, 1789908567, 646876727, 2031326477, 1309352117, 1420399196, 890394338, 1194030569, 357650346, 238474318, 840258736, 487442518, 1026239392, 1006173273, 2046040485, 1109116575, 1984340147, 670690076, 930964573, 38099514, 2080595313, 1486827578, 1992549476, 2146343220, 1140305355, 1786735543, 2115769245, 1069077591, 31535998, 56692567, 898274843, 855588089, 1164551158, 1101774516, 1384178846, 2129556748, 1722792301, 576923284, 139123585, 858478381, 1887781625, 1805736741, 1827264663, 474482382, 2029572209, 117075333, 270697303, 1488157344, 1072602567, 1522884015, 1641432860, 907277245, 450383361, 1997899283, 621824765, 677171228, 1889667969, 1930359164, 1845104038, 1376696621, 1885101232, 197649490, 62979851, 1694716792, 1283359926, 529871231, 1265239209]"
Logistic regression,SVM (polynomial),0.32439751170183773,0.30930597952886829,0.7012113157742648,0.551403608736942,0.8510190228115874,0.14898097718841263,0.44859639126305806,"[1376828152, 1541316946, 990523308, 600075587, 294976744, 1194596873, 144620823, 1160649019, 1286741578, 1789908567, 646876727, 2031326477, 1309352117, 1420399196, 890394338, 1194030569, 357650346, 238474318, 840258736, 487442518, 1026239392, 1006173273, 2046040485, 1109116575, 1984340147, 670690076, 930964573, 38099514, 2080595313, 1486827578, 1992549476, 2146343220, 1140305355, 1786735543, 2115769245, 1069077591, 31535998, 56692567, 898274843, 855588089, 1164551158, 1101774516, 1384178846, 2129556748, 1722792301, 576923284, 139123585, 858478381, 1887781625, 1805736741, 1827264663, 474482382, 2029572209, 117075333, 270697303, 1488157344, 1072602567, 1522884015, 1641432860, 907277245, 450383361, 1997899283, 621824765, 677171228, 1889667969, 1930359164, 1845104038, 1376696621, 1885101232, 197649490, 62979851, 1694716792, 1283359926, 529871231, 1265239209]"
Bernoulli Naive Bayes,AdaBoost,0.30371999093093222,0.26648900959089356,0.7111070951167568,0.6440113960113958,0.7782027942221168,0.22179720577788298,0.35598860398860394,"[1376828152, 1541316946, 990523308, 600075587, 294976744, 1194596873, 144620823, 1160649019, 1286741578, 1789908567, 646876727, 2031326477, 1309352117, 1420399196, 890394338, 1194030569, 357650346, 238474318, 840258736, 487442518, 1026239392, 1006173273, 2046040485, 1109116575, 1984340147, 670690076, 930964573, 38099514, 2080595313, 1486827578, 1992549476, 2146343220, 1140305355, 1786735543, 2115769245, 1069077591, 31535998, 56692567, 898274843, 855588089, 1164551158, 1101774516, 1384178846, 2129556748, 1722792301, 576923284, 139123585, 858478381, 1887781625, 1805736741, 1827264663, 474482382, 2029572209, 117075333, 270697303, 1488157344, 1072602567, 1522884015, 1641432860, 907277245, 450383361, 1997899283, 621824765, 677171228, 1889667969, 1930359164, 1845104038, 1376696621, 1885101232, 197649490, 62979851, 1694716792, 1283359926, 529871231, 1265239209]"
Bernoulli Naive Bayes,Artificial neural network,0.30507346200353569,0.26511728928322109,0.7140314638396571,0.657128205128205,0.7709347225511088,0.22906527744889105,0.342871794871795,"[1376828152, 1541316946, 990523308, 600075587, 294976744, 1194596873, 144620823, 1160649019, 1286741578, 1789908567, 646876727, 2031326477, 1309352117, 1420399196, 890394338, 1194030569, 357650346, 238474318, 840258736, 487442518, 1026239392, 1006173273, 2046040485, 1109116575, 1984340147, 670690076, 930964573, 38099514, 2080595313, 1486827578, 1992549476, 2146343220, 1140305355, 1786735543, 2115769245, 1069077591, 31535998, 56692567, 898274843, 855588089, 1164551158, 1101774516, 1384178846, 2129556748, 1722792301, 576923284, 139123585, 858478381, 1887781625, 1805736741, 1827264663, 474482382, 2029572209, 117075333, 270697303, 1488157344, 1072602567, 1522884015, 1641432860, 907277245, 450383361, 1997899283, 621824765, 677171228, 1889667969, 1930359164, 1845104038, 1376696621, 1885101232, 197649490, 62979851, 1694716792, 1283359926, 529871231, 1265239209]"
Bernoulli Naive Bayes,Bernoulli Naive Bayes,0.33415767210510228,0.31166052705330732,0.7156913940504436,0.5988528015194681,0.8325299865814191,0.1674700134185808,0.4011471984805318,"[1376828152, 1541316946, 990523308, 600075587, 294976744, 1194596873, 144620823, 1160649019, 1286741578, 1789908567, 646876727, 2031326477, 1309352117, 1420399196, 890394338, 1194030569, 357650346, 238474318, 840258736, 487442518, 1026239392, 1006173273, 2046040485, 1109116575, 1984340147, 670690076, 930964573, 38099514, 2080595313, 1486827578, 1992549476, 2146343220, 1140305355, 1786735543, 2115769245, 1069077591, 31535998, 56692567, 898274843, 855588089, 1164551158, 1101774516, 1384178846, 2129556748, 1722792301, 576923284, 139123585, 858478381, 1887781625, 1805736741, 1827264663, 474482382, 2029572209, 117075333, 270697303, 1488157344, 1072602567, 1522884015, 1641432860, 907277245, 450383361, 1997899283, 621824765, 677171228, 1889667969, 1930359164, 1845104038, 1376696621, 1885101232, 197649490, 62979851, 1694716792, 1283359926, 529871231, 1265239209]"
Bernoulli Naive Bayes,Decision Tree,0.26171796936393482,0.23366863215707459,0.6774438161751128,0.5734852801519467,0.7814023521982792,0.21859764780172075,0.42651471984805317,"[1376828152, 1541316946, 990523308, 600075587, 294976744, 1194596873, 144620823, 1160649019, 1286741578, 1789908567, 646876727, 2031326477, 1309352117, 1420399196, 890394338, 1194030569, 357650346, 238474318, 840258736, 487442518, 1026239392, 1006173273, 2046040485, 1109116575, 1984340147, 670690076, 930964573, 38099514, 2080595313, 1486827578, 1992549476, 2146343220, 1140305355, 1786735543, 2115769245, 1069077591, 31535998, 56692567, 898274843, 855588089, 1164551158, 1101774516, 1384178846, 2129556748, 1722792301, 576923284, 139123585, 858478381, 1887781625, 1805736741, 1827264663, 474482382, 2029572209, 117075333, 270697303, 1488157344, 1072602567, 1522884015, 1641432860, 907277245, 450383361, 1997899283, 621824765, 677171228, 1889667969, 1930359164, 1845104038, 1376696621, 1885101232, 197649490, 62979851, 1694716792, 1283359926, 529871231, 1265239209]"
Bernoulli Naive Bayes,Extreme Learning Machine,0.28296209548306456,0.24359930655954196,0.7000528557604885,0.640098765432099,0.7600069460888783,0.23999305391112163,0.3599012345679012,"[1376828152, 1541316946, 990523308, 600075587, 294976744, 1194596873, 144620823, 1160649019, 1286741578, 1789908567, 646876727, 2031326477, 1309352117, 1420399196, 890394338, 1194030569, 357650346, 238474318, 840258736, 487442518, 1026239392, 1006173273, 2046040485, 1109116575, 1984340147, 670690076, 930964573, 38099514, 2080595313, 1486827578, 1992549476, 2146343220, 1140305355, 1786735543, 2115769245, 1069077591, 31535998, 56692567, 898274843, 855588089, 1164551158, 1101774516, 1384178846, 2129556748, 1722792301, 576923284, 139123585, 858478381, 1887781625, 1805736741, 1827264663, 474482382, 2029572209, 117075333, 270697303, 1488157344, 1072602567, 1522884015, 1641432860, 907277245, 450383361, 1997899283, 621824765, 677171228, 1889667969, 1930359164, 1845104038, 1376696621, 1885101232, 197649490, 62979851, 1694716792, 1283359926, 529871231, 1265239209]"
Bernoulli Naive Bayes,Gaussian Naive Bayes,0.072553689370063595,0.013713648063545865,0.5280359973275278,0.9842697056030397,0.07180228905201674,0.9281977109479836,0.01573029439696107,"[1376828152, 1541316946, 990523308, 600075587, 294976744, 1194596873, 144620823, 1160649019, 1286741578, 1789908567, 646876727, 2031326477, 1309352117, 1420399196, 890394338, 1194030569, 357650346, 238474318, 840258736, 487442518, 1026239392, 1006173273, 2046040485, 1109116575, 1984340147, 670690076, 930964573, 38099514, 2080595313, 1486827578, 1992549476, 2146343220, 1140305355, 1786735543, 2115769245, 1069077591, 31535998, 56692567, 898274843, 855588089, 1164551158, 1101774516, 1384178846, 2129556748, 1722792301, 576923284, 139123585, 858478381, 1887781625, 1805736741, 1827264663, 474482382, 2029572209, 117075333, 270697303, 1488157344, 1072602567, 1522884015, 1641432860, 907277245, 450383361, 1997899283, 621824765, 677171228, 1889667969, 1930359164, 1845104038, 1376696621, 1885101232, 197649490, 62979851, 1694716792, 1283359926, 529871231, 1265239209]"
Bernoulli Naive Bayes,Logistic regression,0.30449798585177429,0.26374401512435491,0.7142566280300593,0.6601709401709401,0.7683423158891781,0.2316576841108217,0.33982905982905975,"[1376828152, 1541316946, 990523308, 600075587, 294976744, 1194596873, 144620823, 1160649019, 1286741578, 1789908567, 646876727, 2031326477, 1309352117, 1420399196, 890394338, 1194030569, 357650346, 238474318, 840258736, 487442518, 1026239392, 1006173273, 2046040485, 1109116575, 1984340147, 670690076, 930964573, 38099514, 2080595313, 1486827578, 1992549476, 2146343220, 1140305355, 1786735543, 2115769245, 1069077591, 31535998, 56692567, 898274843, 855588089, 1164551158, 1101774516, 1384178846, 2129556748, 1722792301, 576923284, 139123585, 858478381, 1887781625, 1805736741, 1827264663, 474482382, 2029572209, 117075333, 270697303, 1488157344, 1072602567, 1522884015, 1641432860, 907277245, 450383361, 1997899283, 621824765, 677171228, 1889667969, 1930359164, 1845104038, 1376696621, 1885101232, 197649490, 62979851, 1694716792, 1283359926, 529871231, 1265239209]"
Bernoulli Naive Bayes,Random forest,0.30328313507383126,0.2683368728663531,0.7088937488123533,0.6336790123456792,0.7841084852790272,0.21589151472097243,0.36632098765432103,"[1376828152, 1541316946, 990523308, 600075587, 294976744, 1194596873, 144620823, 1160649019, 1286741578, 1789908567, 646876727, 2031326477, 1309352117, 1420399196, 890394338, 1194030569, 357650346, 238474318, 840258736, 487442518, 1026239392, 1006173273, 2046040485, 1109116575, 1984340147, 670690076, 930964573, 38099514, 2080595313, 1486827578, 1992549476, 2146343220, 1140305355, 1786735543, 2115769245, 1069077591, 31535998, 56692567, 898274843, 855588089, 1164551158, 1101774516, 1384178846, 2129556748, 1722792301, 576923284, 139123585, 858478381, 1887781625, 1805736741, 1827264663, 474482382, 2029572209, 117075333, 270697303, 1488157344, 1072602567, 1522884015, 1641432860, 907277245, 450383361, 1997899283, 621824765, 677171228, 1889667969, 1930359164, 1845104038, 1376696621, 1885101232, 197649490, 62979851, 1694716792, 1283359926, 529871231, 1265239209]"
Bernoulli Naive Bayes,SVM (RDF),0.29500530282824433,0.25907169766159444,0.7044908179082622,0.6324710351377018,0.7765106006788225,0.22348939932117767,0.3675289648622981,"[1376828152, 1541316946, 990523308, 600075587, 294976744, 1194596873, 144620823, 1160649019, 1286741578, 1789908567, 646876727, 2031326477, 1309352117, 1420399196, 890394338, 1194030569, 357650346, 238474318, 840258736, 487442518, 1026239392, 1006173273, 2046040485, 1109116575, 1984340147, 670690076, 930964573, 38099514, 2080595313, 1486827578, 1992549476, 2146343220, 1140305355, 1786735543, 2115769245, 1069077591, 31535998, 56692567, 898274843, 855588089, 1164551158, 1101774516, 1384178846, 2129556748, 1722792301, 576923284, 139123585, 858478381, 1887781625, 1805736741, 1827264663, 474482382, 2029572209, 117075333, 270697303, 1488157344, 1072602567, 1522884015, 1641432860, 907277245, 450383361, 1997899283, 621824765, 677171228, 1889667969, 1930359164, 1845104038, 1376696621, 1885101232, 197649490, 62979851, 1694716792, 1283359926, 529871231, 1265239209]"
