Default time range,Classifier description,Matthews correlation coefficient,Cohen Kappa score,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,initialisation_values
"(0, 100)",Artificial neural network,0.26403145917888199,0.25032682150110924,0.6612880510528886,0.5186641188083623,0.8039119832974151,0.19608801670258486,0.48133588119163767,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
"(0, 200)",Artificial neural network,0.1438190644554177,0.10991453135657991,0.6243896510136895,0.4848375529954476,0.7639417490319316,0.2360582509680687,0.5151624470045523,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
"(50, 100)",Artificial neural network,0.31431498000836544,0.2974376545345595,0.6889611242499944,0.5965651948517412,0.7813570536482477,0.21864294635175224,0.40343480514825886,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
"(50, 150)",Artificial neural network,0.29544260466771394,0.25874961245712358,0.702015218147463,0.6465298527077907,0.7575005835871358,0.2424994164128644,0.3534701472922093,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
"(100, 200)",Artificial neural network,0.26952291578517618,0.23928320057019878,0.6792141473537202,0.612064278536264,0.7463640161711766,0.2536359838288234,0.38793572146373606,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
"(200, 1000)",Artificial neural network,0.29733159186321029,0.28242830160961652,0.6791786630947773,0.5665987758731637,0.7917585503163913,0.20824144968360878,0.43340122412683646,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
"(0, 30)",Bernoulli Naive Bayes,0.37906817188525288,0.37577912666932106,0.7040624980033899,0.558429654074356,0.8496953419324248,0.15030465806757512,0.44157034592564415,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
"(0, 60)",Bernoulli Naive Bayes,0.35637037788032266,0.35420598501463074,0.6895314703991314,0.5182491871563893,0.8608137536418735,0.13918624635812632,0.4817508128436107,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
"(0, 100)",Bernoulli Naive Bayes,0.29395132969374055,0.28345386074601475,0.6747349375764711,0.5210415417304595,0.828428333422483,0.1715716665775173,0.47895845826954075,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
"(0, 200)",Bernoulli Naive Bayes,0.1844018524799996,0.15365186611214982,0.6472861107207968,0.4754901008585217,0.8190821205830718,0.18091787941692808,0.5245098991414783,"[169468104, 762760306, 363192952, 1882434301, 450521391, 697815202, 650029168, 1353833038, 1865484769, 1166227900, 461337686, 1430910404, 230871471, 1761891313, 357680657, 1154398934, 1956922857, 1774335574, 1779502725, 1108632375, 1959463521, 816190823, 1668461252, 941116804, 1279452795, 1209740738, 632767087, 1836686147, 1079039028, 1025603057, 1155820120, 123724761, 1460011638, 1060017496, 478926807, 884677656, 45466159, 1494419694, 783605083, 794595428, 1826914088, 325938006, 612011540, 2088941227, 1162797581, 689516967, 66424485, 277968112, 1194732326, 416171083]"
