None,ANOVA_CHI2,Logistic regression,Bernoulli Naive Bayes,SVM (linear),Decision Tree,Random forest
0.6497662711254945,0.6725098885293059,0.7468536497662711,0.6919273642574613,0.7468536497662711,0.6564185544768069,0.7371449119021934
0.6497662711254945,0.6725098885293059,0.7468536497662711,0.6919273642574613,0.7468536497662711,0.6564185544768069,0.7371449119021934
0.7553937432578209,0.7787666307083783,0.7602481121898598,0.7553937432578209,0.7642035239122618,0.7086479683567062,0.7280654440848615
0.6497662711254945,0.6725098885293059,0.7468536497662711,0.6919273642574613,0.7468536497662711,0.6564185544768069,0.7371449119021934
0.7553937432578209,0.7787666307083783,0.7602481121898598,0.7553937432578209,0.7642035239122618,0.7086479683567062,0.7280654440848615
0.6218087019057893,0.6321467098166127,0.6667565623876304,0.6218087019057893,0.6776339446242359,0.639428263214671,0.6612729234088457
0.6497662711254945,0.6725098885293059,0.7468536497662711,0.6919273642574613,0.7468536497662711,0.6564185544768069,0.7371449119021934
0.7553937432578209,0.7787666307083783,0.7602481121898598,0.7553937432578209,0.7642035239122618,0.7086479683567062,0.7280654440848615
0.6218087019057893,0.6321467098166127,0.6667565623876304,0.6218087019057893,0.6776339446242359,0.639428263214671,0.6612729234088457
0.6914182475158085,0.6753387533875339,0.7016260162601626,0.6914182475158085,0.6914182475158085,0.6719060523938573,0.6323396567299007
0.6497662711254945,0.6725098885293059,0.7468536497662711,0.6919273642574613,0.7468536497662711,0.6564185544768069,0.7371449119021934
0.7553937432578209,0.7787666307083783,0.7602481121898598,0.7553937432578209,0.7642035239122618,0.7086479683567062,0.7280654440848615
0.6218087019057893,0.6321467098166127,0.6667565623876304,0.6218087019057893,0.6776339446242359,0.639428263214671,0.6612729234088457
0.6914182475158085,0.6753387533875339,0.7016260162601626,0.6914182475158085,0.6914182475158085,0.6719060523938573,0.6323396567299007
0.7046904315196998,0.6827392120075046,0.6695121951219511,0.7336772983114446,0.700375234521576,0.7046904315196998,0.6824577861163227
0.6497662711254945,0.6561488673139159,0.6546206400575333,0.6497662711254945,0.647339086659475,0.6455411722402014,0.7435275080906149
0.6497662711254945,0.6561488673139159,0.6546206400575333,0.6497662711254945,0.647339086659475,0.6455411722402014,0.7435275080906149
