None,ANOVA_CHI2,Logistic regression,Bernoulli Naive Bayes,SVM (linear),Decision Tree,Random forest
0.3127946162502596,0.15346548401586096,0.14860582519113832,0.44049868630131034,0.1749917893831895,0.12567948891325242,0.06566772841211499
0.3127946162502596,0.15346548401586096,0.14860582519113832,0.44049868630131034,0.1749917893831895,0.12567948891325242,0.06566772841211499
0.3051662891392859,0.17106971055160858,0.13202913320035353,0.38876968736869055,0.4534258798641868,0.21318262826673878,0.051238474950374036
0.3127946162502596,0.15346548401586096,0.14860582519113832,0.44049868630131034,0.1749917893831895,0.12567948891325242,0.06566772841211499
0.3051662891392859,0.17106971055160858,0.13202913320035353,0.38876968736869055,0.4534258798641868,0.21318262826673878,0.051238474950374036
0.19080235837893444,0.27353518973769486,0.4627497597187139,0.22279357784872178,0.08677746572067502,0.20276389888383906,0.05199886258808295
0.3127946162502596,0.15346548401586096,0.14860582519113832,0.44049868630131034,0.1749917893831895,0.12567948891325242,0.06566772841211499
0.3051662891392859,0.17106971055160858,0.13202913320035353,0.38876968736869055,0.4534258798641868,0.21318262826673878,0.051238474950374036
0.19080235837893444,0.27353518973769486,0.4627497597187139,0.22279357784872178,0.08677746572067502,0.20276389888383906,0.05199886258808295
0.3750313935348637,0.12717037995836744,0.13244781428550723,0.3401507614139647,0.39970822124231464,0.44337240218498986,0.05990912779100599
0.3127946162502596,0.15346548401586096,0.14860582519113832,0.44049868630131034,0.1749917893831895,0.12567948891325242,0.06566772841211499
0.3051662891392859,0.17106971055160858,0.13202913320035353,0.38876968736869055,0.4534258798641868,0.21318262826673878,0.051238474950374036
0.19080235837893444,0.27353518973769486,0.4627497597187139,0.22279357784872178,0.08677746572067502,0.20276389888383906,0.05199886258808295
0.3750313935348637,0.12717037995836744,0.13244781428550723,0.3401507614139647,0.39970822124231464,0.44337240218498986,0.05990912779100599
0.21238752662413285,0.20943593062511767,0.28181734758438837,0.28070740501040836,0.18000328424672407,0.227969888770291,0.09179801641157415
0.1159646991774892,0.24151529348125322,0.184167153668938,0.10868773816826005,0.06633091683611125,0.16989003810692127,0.08206028524648756
0.1159646991774892,0.24151529348125322,0.184167153668938,0.10868773816826005,0.06633091683611125,0.16989003810692127,0.08206028524648756
0.13513316896000438,0.0746767673352684,0.0825939753391709,0.11827514259909488,0.10263240827050568,0.04062836574917039,0.04611348038387053
0.1159646991774892,0.24151529348125322,0.184167153668938,0.10868773816826005,0.06633091683611125,0.16989003810692127,0.08206028524648756
0.13513316896000438,0.0746767673352684,0.0825939753391709,0.11827514259909488,0.10263240827050568,0.04062836574917039,0.04611348038387053
0.06513434018034392,0.3064984013446095,0.13905826640070673,0.10273715400702255,0.15262449951460733,0.04699129191640594,0.07375850644050441
0.1159646991774892,0.24151529348125322,0.184167153668938,0.10868773816826005,0.06633091683611125,0.16989003810692127,0.08206028524648756
0.13513316896000438,0.0746767673352684,0.0825939753391709,0.11827514259909488,0.10263240827050568,0.04062836574917039,0.04611348038387053
0.06513434018034392,0.3064984013446095,0.13905826640070673,0.10273715400702255,0.15262449951460733,0.04699129191640594,0.07375850644050441
0.12911255306714864,0.10110167158498706,0.21229545904592628,0.10851477186559721,0.4781344029674135,0.04584240928475891,0.05958251428405825
0.1159646991774892,0.24151529348125322,0.184167153668938,0.10868773816826005,0.06633091683611125,0.16989003810692127,0.08206028524648756
0.13513316896000438,0.0746767673352684,0.0825939753391709,0.11827514259909488,0.10263240827050568,0.04062836574917039,0.04611348038387053
0.06513434018034392,0.3064984013446095,0.13905826640070673,0.10273715400702255,0.15262449951460733,0.04699129191640594,0.07375850644050441
0.12911255306714864,0.10110167158498706,0.21229545904592628,0.10851477186559721,0.4781344029674135,0.04584240928475891,0.05958251428405825
0.06146703195861836,0.19251300416809558,0.17923504822529956,0.062018531845119185,0.06477391825123568,0.060058850803433206,0.18480226902810415
2.586734601471149,2.7275883365773317,2.499372129302725,3.1613663915305072,3.36072379002072,2.7448934189491374,1.3013628416461804
2.586734601471149,2.7275883365773317,2.499372129302725,3.1613663915305072,3.36072379002072,2.7448934189491374,1.3013628416461804
0.8550119778409941,0.9438674540809178,1.0027514622142588,0.9079955107245143,0.8482659901762388,1.8104959454042282,0.4533812044491885
2.586734601471149,2.7275883365773317,2.499372129302725,3.1613663915305072,3.36072379002072,2.7448934189491374,1.3013628416461804
0.8550119778409941,0.9438674540809178,1.0027514622142588,0.9079955107245143,0.8482659901762388,1.8104959454042282,0.4533812044491885
0.6803199363435706,0.7046973180261675,0.838426833744669,0.6025581504861162,0.6100219633999684,0.5098587773908596,0.26764980753348233
