None,ClusterCentroids,EditedNearestNeighbours,InstanceHardnessThreshold,NearMiss,NeighbourhoodCleaningRule,OneSidedSelection,RandomUnderSampler,TomekLinks,ADASYN,RandomOverSampler,SMOTE,SMOTEENN,SMOTETomek
-9999,-9999,-9999,0.4195518714526212,0.3459725427944772,-9999,0.38587938314439807,-9999,0.3651755787229546,-9999,0.45807781514266144,0.431932619416456,-9999,0.431932619416456
-9999,-9999,-9999,0.2611541129857129,0.2692780633329981,-9999,0.18191509267767347,-9999,0.19710645662952841,-9999,0.2746606303205059,0.26647368878619015,-9999,0.26647368878619015
-9999,-9999,-9999,0.4007770352765113,0.2764443368814591,-9999,0.19724887295927196,-9999,0.2283062439081529,-9999,0.4498192313342301,0.3856933834439884,-9999,0.3856933834439884
-9999,-9999,-9999,0.27511700261480154,0.28536576508822,-9999,0.07029826116664839,-9999,0.1340034713069369,-9999,0.34528976035488634,0.2872161405839906,-9999,0.2872161405839906
-9999,-9999,-9999,0.16993372245894756,0.25504269300146687,-9999,0.21005238554770678,-9999,0.15893146245047607,-9999,0.22263392604942067,0.2561336494384747,-9999,0.2561336494384747
-9999,-9999,-9999,0.30358264459925255,0.2139271711995686,-9999,0.12866857318699676,-9999,0.1341173616980783,-9999,0.3294242780158898,0.2940859351913109,-9999,0.2940859351913109
-9999,-9999,-9999,0.2931396235099262,0.3316238676048864,-9999,0.13879064218843062,-9999,0.1021875080226915,-9999,0.2945528919405199,0.31413651153694067,-9999,0.31413651153694067
-9999,-9999,-9999,0.3374201013766729,0.3505291633759301,-9999,0.23795572017897093,-9999,0.1837504933263283,-9999,0.3997959441096667,0.3360978965335599,-9999,0.3360978965335599
-9999,-9999,-9999,0.32834819049934827,0.22720049091734928,-9999,0.19289640937840025,-9999,0.25375255033448674,-9999,0.3659343360548829,0.349575434744158,-9999,0.349575434744158
-9999,-9999,-9999,0.4051161691102464,0.33494440174600315,-9999,0.3250494033508856,-9999,0.287226660584744,-9999,0.41825487941383155,0.3798806885757201,-9999,0.3798806885757201
