layers,Data balancer,Matthews correlation coefficient,Cohen Kappa Score,Balanced Accuracy,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff,
"[(100, 'lin'), (100, 'lin')]",None,0.169316057,0.105897593,0.533057862,0.074548908,0.991566817,0.008433183,0.925451092,0,0.920233641,0,0.545204179,0.545204179,0.237494389
"[(100, 'lin'), (100, 'lin')]",ClusterCentroids,0.264228972,0.226882619,0.687287052,0.619373219,0.755200884,0.244799116,0.380626781,0.323361823,0.367405478,0.060299945,0.144159544,0.144159544,0.149024487
"[(100, 'lin'), (100, 'lin')]",EditedNearestNeighbours,0.323488812,0.322072167,0.650638166,0.365147198,0.936129134,0.063870866,0.634852802,0.134283001,0.859276975,0.017838819,0.442735043,0.442735043,0.134531339
"[(100, 'lin'), (100, 'lin')]",InstanceHardnessThreshold,0.145841955,0.083824773,0.613142363,0.766096866,0.46018786,0.53981214,0.233903134,0.51699905,0.214051622,0.263234667,0.099525166,0.099525166,0.183441957
"[(100, 'lin'), (100, 'lin')]",NearMiss,0.149538661,0.088527696,0.6162981,0.75337132,0.47922488,0.52077512,0.24662868,0.581766382,0.272979714,0.271773621,0.089553656,0.089553656,0.049643437
"[(100, 'lin'), (100, 'lin')]",NeighbourhoodCleaningRule,0.316689749,0.313641151,0.642302752,0.342640076,0.941965427,0.058034573,0.657359924,0.109116809,0.863174678,0.01200884,0.450332384,0.450332384,0.058946371
"[(100, 'lin'), (100, 'lin')]",OneSidedSelection,0.223149721,0.171414239,0.557582742,0.129439696,0.985725787,0.014274213,0.870560304,0,0.9059689,0.000650407,0.5328585,0.5328585,0.07875371
"[(100, 'lin'), (100, 'lin')]",RandomUnderSampler,0.279333206,0.242333546,0.696194007,0.626780627,0.765607388,0.234392612,0.373219373,0.415194682,0.434844108,0.086232536,0.121842355,0.121842355,0.180270672
"[(100, 'lin'), (100, 'lin')]",TomekLinks,0.205185528,0.150567934,0.549354545,0.111680912,0.987028179,0.012971821,0.888319088,0,0.90921304,0.000650407,0.537796771,0.537796771,0.061239719
"[(100, 'lin'), (100, 'lin')]",ADASYN,0.300581476,0.269437633,0.704433513,0.614434948,0.794432078,0.205567922,0.385565052,0.37037037,0.421877023,0.057376273,0.104463438,0.104463438,0.373387416
"[(100, 'lin'), (100, 'lin')]",RandomOverSampler,0.292026296,0.259036092,0.700815291,0.616904084,0.784726498,0.215273502,0.383095916,0.402564103,0.478302944,0.068726813,0.13960114,0.13960114,0.22249945
"[(100, 'lin'), (100, 'lin')]",SMOTE,0.284197786,0.250043653,0.697183049,0.617094017,0.777272081,0.222727919,0.382905983,0.387749288,0.4717973,0.073915858,0.134283001,0.134283001,0.07814463
"[(100, 'lin'), (100, 'lin')]",SMOTEENN,0.307097017,0.290689883,0.693115742,0.544444444,0.841787039,0.158212961,0.455555556,0.370275404,0.613518036,0.060955087,0.221652422,0.221652422,0.092752536
"[(100, 'lin'), (100, 'lin')]",SMOTETomek,0.284197786,0.250043653,0.697183049,0.617094017,0.777272081,0.222727919,0.382905983,0.387749288,0.4717973,0.073915858,0.134283001,0.134283001,0.130957762
"[(100, 'lin'), (5, 'lin')]",None,0.169316057,0.105897593,0.533057862,0.074548908,0.991566817,0.008433183,0.925451092,0,0.920233641,0,0.545204179,0.545204179,0.16818881
"[(100, 'lin'), (5, 'lin')]",ClusterCentroids,0.264228972,0.226882619,0.687287052,0.619373219,0.755200884,0.244799116,0.380626781,0.323361823,0.367405478,0.060299945,0.144159544,0.144159544,0.074277083
"[(100, 'lin'), (5, 'lin')]",EditedNearestNeighbours,0.323488812,0.322072167,0.650638166,0.365147198,0.936129134,0.063870866,0.634852802,0.134283001,0.859276975,0.017838819,0.442735043,0.442735043,0.026273966
"[(100, 'lin'), (5, 'lin')]",InstanceHardnessThreshold,0.145841955,0.083824773,0.613142363,0.766096866,0.46018786,0.53981214,0.233903134,0.51699905,0.214051622,0.263234667,0.099525166,0.099525166,0.189219554
"[(100, 'lin'), (5, 'lin')]",NearMiss,0.149340486,0.088367269,0.616136288,0.75337132,0.478901255,0.521098745,0.24662868,0.581766382,0.273630121,0.271773621,0.089553656,0.089553656,0.065825939
"[(100, 'lin'), (5, 'lin')]",NeighbourhoodCleaningRule,0.316689749,0.313641151,0.642302752,0.342640076,0.941965427,0.058034573,0.657359924,0.109116809,0.863174678,0.01200884,0.450332384,0.450332384,0.044521491
"[(100, 'lin'), (5, 'lin')]",OneSidedSelection,0.223149721,0.171414239,0.557582742,0.129439696,0.985725787,0.014274213,0.870560304,0,0.9059689,0.000650407,0.5328585,0.5328585,0.107447942
"[(100, 'lin'), (5, 'lin')]",RandomUnderSampler,0.279333206,0.242333546,0.696194007,0.626780627,0.765607388,0.234392612,0.373219373,0.415194682,0.434844108,0.086232536,0.121842355,0.121842355,0.151172082
"[(100, 'lin'), (5, 'lin')]",TomekLinks,0.205185528,0.150567934,0.549354545,0.111680912,0.987028179,0.012971821,0.888319088,0,0.90921304,0.000650407,0.537796771,0.537796771,0.175454458
"[(100, 'lin'), (5, 'lin')]",ADASYN,0.300581476,0.269437633,0.704433513,0.614434948,0.794432078,0.205567922,0.385565052,0.37037037,0.421877023,0.057376273,0.104463438,0.104463438,0.316061258
"[(100, 'lin'), (5, 'lin')]",RandomOverSampler,0.292026296,0.259036092,0.700815291,0.616904084,0.784726498,0.215273502,0.383095916,0.402564103,0.478302944,0.068726813,0.13960114,0.13960114,0.207237482
"[(100, 'lin'), (5, 'lin')]",SMOTE,0.284197786,0.250043653,0.697183049,0.617094017,0.777272081,0.222727919,0.382905983,0.387749288,0.4717973,0.073915858,0.134283001,0.134283001,0.16457208
"[(100, 'lin'), (5, 'lin')]",SMOTEENN,0.307097017,0.290689883,0.693115742,0.544444444,0.841787039,0.158212961,0.455555556,0.370275404,0.613518036,0.060955087,0.221652422,0.221652422,0.020320654
"[(100, 'lin'), (5, 'lin')]",SMOTETomek,0.284197786,0.250043653,0.697183049,0.617094017,0.777272081,0.222727919,0.382905983,0.387749288,0.4717973,0.073915858,0.134283001,0.134283001,0.074447234
"[(100, 'lin')]",None,0.169316057,0.105897593,0.533057862,0.074548908,0.991566817,0.008433183,0.925451092,0,0.920233641,0,0.545204179,0.545204179,0.208455801
"[(100, 'lin')]",ClusterCentroids,0.264228972,0.226882619,0.687287052,0.619373219,0.755200884,0.244799116,0.380626781,0.323361823,0.367405478,0.060299945,0.144159544,0.144159544,0.143083731
"[(100, 'lin')]",EditedNearestNeighbours,0.323488812,0.322072167,0.650638166,0.365147198,0.936129134,0.063870866,0.634852802,0.134283001,0.859276975,0.017838819,0.442735043,0.442735043,0.090957721
"[(100, 'lin')]",InstanceHardnessThreshold,0.145841955,0.083824773,0.613142363,0.766096866,0.46018786,0.53981214,0.233903134,0.51699905,0.214051622,0.263234667,0.099525166,0.099525166,0.198310932
"[(100, 'lin')]",NearMiss,0.14974055,0.08868675,0.616459912,0.75337132,0.479548504,0.520451496,0.24662868,0.581766382,0.274278949,0.271773621,0.089553656,0.089553656,0.129500866
"[(100, 'lin')]",NeighbourhoodCleaningRule,0.316689749,0.313641151,0.642302752,0.342640076,0.941965427,0.058034573,0.657359924,0.109116809,0.863174678,0.01200884,0.450332384,0.450332384,0.022479773
"[(100, 'lin')]",OneSidedSelection,0.223149721,0.171414239,0.557582742,0.129439696,0.985725787,0.014274213,0.870560304,0,0.9059689,0.000650407,0.5328585,0.5328585,0.121032
"[(100, 'lin')]",RandomUnderSampler,0.279333206,0.242333546,0.696194007,0.626780627,0.765607388,0.234392612,0.373219373,0.415194682,0.434844108,0.086232536,0.121842355,0.121842355,0.171195269
"[(100, 'lin')]",TomekLinks,0.205185528,0.150567934,0.549354545,0.111680912,0.987028179,0.012971821,0.888319088,0,0.90921304,0.000650407,0.537796771,0.537796771,0.135105213
"[(100, 'lin')]",ADASYN,0.300581476,0.269437633,0.704433513,0.614434948,0.794432078,0.205567922,0.385565052,0.37037037,0.421877023,0.057376273,0.104463438,0.104463438,0.329049508
"[(100, 'lin')]",RandomOverSampler,0.292026296,0.259036092,0.700815291,0.616904084,0.784726498,0.215273502,0.383095916,0.402564103,0.478302944,0.068726813,0.13960114,0.13960114,0.216152668
"[(100, 'lin')]",SMOTE,0.284197786,0.250043653,0.697183049,0.617094017,0.777272081,0.222727919,0.382905983,0.387749288,0.4717973,0.073915858,0.134283001,0.134283001,0.108239174
"[(100, 'lin')]",SMOTEENN,0.307097017,0.290689883,0.693115742,0.544444444,0.841787039,0.158212961,0.455555556,0.370275404,0.613518036,0.060955087,0.221652422,0.221652422,0.100399335
"[(100, 'lin')]",SMOTETomek,0.284197786,0.250043653,0.697183049,0.617094017,0.777272081,0.222727919,0.382905983,0.387749288,0.4717973,0.073915858,0.134283001,0.134283001,0.154681603
"[(100, 'rbf_l1'), (100, 'rbf_l1')]",None,0.168721445,0.120856791,0.539780686,0.092212726,0.987348646,0.012651354,0.907787274,0.052231719,0.721127161,0.00486542,0.474548908,0.474548908,0.492742459
"[(100, 'rbf_l1'), (100, 'rbf_l1')]",ClusterCentroids,0.206051272,0.172700537,0.648775345,0.569990503,0.727560186,0.272439814,0.430009497,0.201424501,0.207817507,0.067785934,0.133998101,0.133998101,0.142208735
"[(100, 'rbf_l1'), (100, 'rbf_l1')]",EditedNearestNeighbours,0.280667593,0.2650177,0.60571504,0.248717949,0.962712132,0.037287868,0.751282051,0.131718898,0.681894388,0.013304918,0.384995252,0.384995252,0.111810525
"[(100, 'rbf_l1'), (100, 'rbf_l1')]",InstanceHardnessThreshold,0.140710823,0.087383982,0.60990099,0.713675214,0.506126766,0.493873234,0.286324786,0.382621083,0.209129371,0.203008919,0.104463438,0.104463438,0.212743282
"[(100, 'rbf_l1'), (100, 'rbf_l1')]",NearMiss,0.151928421,0.085518816,0.617357178,0.785944919,0.448769437,0.551230563,0.214055081,0.479297246,0.26490015,0.270783803,0.104368471,0.104368471,0.114949306
"[(100, 'rbf_l1'), (100, 'rbf_l1')]",NeighbourhoodCleaningRule,0.243733091,0.223287364,0.585663224,0.204083571,0.967242876,0.032757124,0.795916429,0.104463438,0.684813324,0.013300182,0.409876543,0.409876543,0.192144156
"[(100, 'rbf_l1'), (100, 'rbf_l1')]",OneSidedSelection,0.18894355,0.149265777,0.55102319,0.119563153,0.982483227,0.017516773,0.880436847,0.057169991,0.707825401,0.0064867,0.457169991,0.457169991,0.179210186
"[(100, 'rbf_l1'), (100, 'rbf_l1')]",RandomUnderSampler,0.252675821,0.208361123,0.68432061,0.646533713,0.722107507,0.277892493,0.353466287,0.310826211,0.30667456,0.093401216,0.149002849,0.149002849,0.201863289
"[(100, 'rbf_l1'), (100, 'rbf_l1')]",TomekLinks,0.191546145,0.148601265,0.550389966,0.11699905,0.983780882,0.016219118,0.88300095,0.057169991,0.717559397,0.006163075,0.459639126,0.459639126,0.154083014
"[(100, 'rbf_l1'), (100, 'rbf_l1')]",ADASYN,0.280420102,0.258865133,0.683569115,0.551946819,0.815191412,0.184808588,0.448053181,0.250997151,0.367358118,0.049937643,0.163817664,0.163817664,0.850771427
"[(100, 'rbf_l1'), (100, 'rbf_l1')]",RandomOverSampler,0.26919424,0.238555371,0.685157161,0.589458689,0.780855632,0.219144368,0.410541311,0.251187085,0.344349199,0.057079485,0.15631529,0.15631529,0.736433188
"[(100, 'rbf_l1'), (100, 'rbf_l1')]",SMOTE,0.238161214,0.204400522,0.668867069,0.58708452,0.750649617,0.249350383,0.41291548,0.216049383,0.286901886,0.049943958,0.139316239,0.139316239,0.587092956
"[(100, 'rbf_l1'), (100, 'rbf_l1')]",SMOTEENN,0.283864557,0.264526365,0.683473744,0.542355176,0.824592312,0.175407688,0.457644824,0.176448243,0.397169469,0.038263478,0.181291548,0.181291548,0.534675439
"[(100, 'rbf_l1'), (100, 'rbf_l1')]",SMOTETomek,0.238161214,0.204400522,0.668867069,0.58708452,0.750649617,0.249350383,0.41291548,0.216049383,0.286901886,0.049943958,0.139316239,0.139316239,0.538962285
"[(100, 'rbf_l1'), (5, 'rbf_l1')]",None,0.091201198,0.046520994,0.513975334,0.034757835,0.993192833,0.006807167,0.965242165,0.01994302,0.488011682,0.001941748,0.353466287,0.353466287,0.309336027
"[(100, 'rbf_l1'), (5, 'rbf_l1')]",ClusterCentroids,0.196352914,0.17506609,0.633729743,0.491642925,0.77581656,0.22418344,0.508357075,0.109591643,0.188062199,0.037954061,0.0997151,0.0997151,0.104842424
"[(100, 'rbf_l1'), (5, 'rbf_l1')]",EditedNearestNeighbours,0.189134501,0.161100774,0.557787176,0.142165242,0.973409109,0.026590891,0.857834758,0.062298196,0.465315337,0.006156761,0.30617284,0.30617284,0.057348569
"[(100, 'rbf_l1'), (5, 'rbf_l1')]",InstanceHardnessThreshold,0.131662909,0.084279207,0.602407478,0.680626781,0.524188176,0.475811824,0.319373219,0.248907882,0.160797222,0.135246665,0.079867047,0.079867047,0.128711859
"[(100, 'rbf_l1'), (5, 'rbf_l1')]",NearMiss,0.153788715,0.092534432,0.619916999,0.753846154,0.485987844,0.514012156,0.246153846,0.296391263,0.240257321,0.184203962,0.079487179,0.079487179,0.052195867
"[(100, 'rbf_l1'), (5, 'rbf_l1')]",NeighbourhoodCleaningRule,0.182501607,0.152295046,0.553633001,0.131908832,0.975357171,0.024642829,0.868091168,0.054795821,0.465315337,0.005831557,0.308641975,0.308641975,0.050745885
"[(100, 'rbf_l1'), (5, 'rbf_l1')]",OneSidedSelection,0.099678464,0.054947994,0.516707374,0.042165242,0.991249507,0.008750493,0.957834758,0.030009497,0.48249112,0.002912621,0.345773979,0.345773979,0.106334289
"[(100, 'rbf_l1'), (5, 'rbf_l1')]",RandomUnderSampler,0.218556777,0.182809147,0.657338664,0.588698955,0.725978372,0.274021628,0.411301045,0.189173789,0.230198121,0.060310995,0.077492877,0.077492877,0.19212381
"[(100, 'rbf_l1'), (5, 'rbf_l1')]",TomekLinks,0.08922101,0.047599189,0.514446745,0.037321937,0.991571553,0.008428447,0.962678063,0.022412156,0.488336885,0.002265372,0.356030389,0.356030389,0.089495897
"[(100, 'rbf_l1'), (5, 'rbf_l1')]",ADASYN,0.241203387,0.227364722,0.652688886,0.477302944,0.828074828,0.171925172,0.522697056,0.139791073,0.250614887,0.028542111,0.124311491,0.124311491,0.419568618
"[(100, 'rbf_l1'), (5, 'rbf_l1')]",RandomOverSampler,0.23764002,0.208134779,0.665037064,0.563912631,0.766161497,0.233838503,0.436087369,0.151851852,0.222431131,0.03923593,0.102279202,0.102279202,0.468542496
"[(100, 'rbf_l1'), (5, 'rbf_l1')]",SMOTE,0.212284184,0.170555447,0.656493329,0.618423552,0.694563107,0.305436893,0.381576448,0.146818613,0.199748994,0.040217855,0.087464387,0.087464387,0.245745262
"[(100, 'rbf_l1'), (5, 'rbf_l1')]",SMOTEENN,0.260790426,0.239942465,0.671020678,0.533998101,0.808043255,0.191956745,0.466001899,0.131813865,0.254889889,0.029183045,0.104748338,0.104748338,0.101223151
"[(100, 'rbf_l1'), (5, 'rbf_l1')]",SMOTETomek,0.212284184,0.170555447,0.656493329,0.618423552,0.694563107,0.305436893,0.381576448,0.146818613,0.199748994,0.040217855,0.087464387,0.087464387,0.125423272
"[(100, 'rbf_l1')]",None,0.139211236,0.075790181,0.522989206,0.052136752,0.993841661,0.006158339,0.947863248,0.027255461,0.51743784,0.000970874,0.414719848,0.414719848,0.256139914
"[(100, 'rbf_l1')]",ClusterCentroids,0.217246459,0.19006705,0.651268903,0.542165242,0.760372563,0.239627437,0.457834758,0.161348528,0.174427342,0.033060226,0.089458689,0.089458689,0.10343345
"[(100, 'rbf_l1')]",EditedNearestNeighbours,0.219033905,0.193158586,0.571272456,0.169135802,0.973409109,0.026590891,0.830864198,0.096866097,0.493775357,0.004866998,0.315194682,0.315194682,0.039099216
"[(100, 'rbf_l1')]",InstanceHardnessThreshold,0.143831732,0.093603847,0.612011375,0.691642925,0.532379825,0.467620175,0.308357075,0.290788224,0.165970479,0.13160944,0.086894587,0.086894587,0.159751256
"[(100, 'rbf_l1')]",NearMiss,0.169836126,0.099001864,0.632263236,0.789268756,0.475257716,0.524742284,0.210731244,0.380436847,0.238915463,0.166647723,0.064387464,0.064387464,0.039573352
"[(100, 'rbf_l1')]",NeighbourhoodCleaningRule,0.229638452,0.198185806,0.571519086,0.166381766,0.976656405,0.023343595,0.833618234,0.081956315,0.497993528,0.004866998,0.33019943,0.33019943,0.051968972
"[(100, 'rbf_l1')]",OneSidedSelection,0.143108548,0.081577278,0.524972905,0.057075024,0.992870787,0.007129213,0.942924976,0.032288699,0.514198437,0.001943326,0.404748338,0.404748338,0.117432674
"[(100, 'rbf_l1')]",RandomUnderSampler,0.216186095,0.170561488,0.66184493,0.63960114,0.68408872,0.31591128,0.36039886,0.246058879,0.23764938,0.061267661,0.08679962,0.08679962,0.164068063
"[(100, 'rbf_l1')]",TomekLinks,0.147894101,0.082956547,0.52529653,0.057075024,0.993518036,0.006481964,0.942924976,0.029724596,0.52003473,0.001294498,0.414719848,0.414719848,0.114486297
"[(100, 'rbf_l1')]",ADASYN,0.247621113,0.227899046,0.662914067,0.517473884,0.808354251,0.191645749,0.482526116,0.183760684,0.269097798,0.030802747,0.131528965,0.131528965,0.349712133
"[(100, 'rbf_l1')]",RandomOverSampler,0.239737794,0.203690285,0.671478165,0.599810066,0.743146263,0.256853737,0.400189934,0.220892688,0.238274528,0.037939853,0.109116809,0.109116809,0.449791114
"[(100, 'rbf_l1')]",SMOTE,0.224578791,0.181993963,0.665772153,0.624691358,0.706852948,0.293147052,0.375308642,0.186134853,0.209407214,0.03600442,0.094112061,0.094112061,0.214111408
"[(100, 'rbf_l1')]",SMOTEENN,0.259242364,0.235130558,0.674000772,0.550047483,0.797954061,0.202045939,0.449952517,0.163817664,0.283641961,0.025304286,0.129059829,0.129059829,0.146885633
"[(100, 'rbf_l1')]",SMOTETomek,0.224578791,0.181993963,0.665772153,0.624691358,0.706852948,0.293147052,0.375308642,0.186134853,0.209407214,0.03600442,0.094112061,0.094112061,0.214032729
"[(100, 'rbf_l2'), (100, 'rbf_l2')]",None,0.21383943,0.207024244,0.586840515,0.226210826,0.947470203,0.052529797,0.773789174,0.114529915,0.886841898,0.025610545,0.629439696,0.629439696,0.548637708
"[(100, 'rbf_l2'), (100, 'rbf_l2')]",ClusterCentroids,-0.000861219,-0.000625358,0.499224821,0.664197531,0.334252111,0.665747889,0.335802469,0.586894587,0.266140974,0.551243192,0.280626781,0.280626781,0.158671935
"[(100, 'rbf_l2'), (100, 'rbf_l2')]",EditedNearestNeighbours,0.272561601,0.27083183,0.647660136,0.400379867,0.894940406,0.105059594,0.599620133,0.283665717,0.798337675,0.061288184,0.480436847,0.480436847,0.105076392
"[(100, 'rbf_l2'), (100, 'rbf_l2')]",InstanceHardnessThreshold,0.026227364,0.015686554,0.520523876,0.582241216,0.458806536,0.541193464,0.417758784,0.572364672,0.437731471,0.526273581,0.405318139,0.405318139,0.187867244
"[(100, 'rbf_l2'), (100, 'rbf_l2')]",NearMiss,0.10755292,0.064363668,0.583867693,0.689078822,0.478656563,0.521343437,0.310921178,0.601804368,0.374280527,0.415020917,0.236467236,0.236467236,0.263951222
"[(100, 'rbf_l2'), (100, 'rbf_l2')]",NeighbourhoodCleaningRule,0.2842232,0.283056751,0.651703258,0.40294397,0.900462546,0.099537454,0.59705603,0.263247863,0.801256611,0.056751125,0.497720798,0.497720798,0.209282955
"[(100, 'rbf_l2'), (100, 'rbf_l2')]",OneSidedSelection,0.235828283,0.232276725,0.602521038,0.266001899,0.939040177,0.060959823,0.733998101,0.154131054,0.868704712,0.035014603,0.592307692,0.592307692,0.282839139
"[(100, 'rbf_l2'), (100, 'rbf_l2')]",RandomUnderSampler,0.070264526,0.051198118,0.554096672,0.502469136,0.605724209,0.394275791,0.497530864,0.49002849,0.557079485,0.363114689,0.472649573,0.472649573,0.250026385
"[(100, 'rbf_l2'), (100, 'rbf_l2')]",TomekLinks,0.224171013,0.219477215,0.595034268,0.248433048,0.941635488,0.058364512,0.751566952,0.146723647,0.878744968,0.030471229,0.5997151,0.5997151,0.227664789
"[(100, 'rbf_l2'), (100, 'rbf_l2')]",ADASYN,0.236432695,0.233140484,0.633451499,0.390123457,0.876779541,0.123220459,0.609876543,0.181481481,0.66635725,0.037939853,0.402754036,0.402754036,0.754627228
"[(100, 'rbf_l2'), (100, 'rbf_l2')]",RandomOverSampler,0.193168367,0.178356053,0.626559233,0.450237417,0.802881048,0.197118952,0.549762583,0.291168091,0.624516536,0.094675191,0.398005698,0.398005698,0.79877313
"[(100, 'rbf_l2'), (100, 'rbf_l2')]",SMOTE,0.222126532,0.221998999,0.61259459,0.318233618,0.906955561,0.093044439,0.681766382,0.183950617,0.755862341,0.038910727,0.504843305,0.504843305,0.513421059
"[(100, 'rbf_l2'), (100, 'rbf_l2')]",SMOTEENN,0.219446457,0.217881726,0.60024303,0.270845204,0.929640856,0.070359144,0.729154796,0.146533713,0.833016023,0.031451575,0.574928775,0.574928775,0.524742444
"[(100, 'rbf_l2'), (100, 'rbf_l2')]",SMOTETomek,0.222126532,0.221998999,0.61259459,0.318233618,0.906955561,0.093044439,0.681766382,0.183950617,0.755862341,0.038910727,0.504843305,0.504843305,0.582660437
"[(100, 'rbf_l2'), (5, 'rbf_l2')]",None,0.233149995,0.20925205,0.578181979,0.18651472,0.969849238,0.030150762,0.81348528,0.067331434,0.9088831,0.011674165,0.582336182,0.582336182,0.334867239
"[(100, 'rbf_l2'), (5, 'rbf_l2')]",ClusterCentroids,0.080806123,0.03417841,0.556519316,0.828679962,0.284358671,0.715641329,0.171320038,0.642355176,0.090780646,0.418328203,0.059639126,0.059639126,0.115274668
"[(100, 'rbf_l2'), (5, 'rbf_l2')]",EditedNearestNeighbours,0.332829153,0.332773662,0.664391044,0.403038936,0.925743153,0.074256847,0.596961064,0.241120608,0.835617649,0.03859026,0.447483381,0.447483381,0.070130984
"[(100, 'rbf_l2'), (5, 'rbf_l2')]",InstanceHardnessThreshold,0.067998853,0.037566714,0.552226981,0.683855651,0.420598311,0.579401689,0.316144349,0.522507123,0.279515352,0.401716,0.216904084,0.216904084,0.167582989
"[(100, 'rbf_l2'), (5, 'rbf_l2')]",NearMiss,0.124633542,0.07882287,0.597412939,0.676638177,0.518187702,0.481812298,0.323361823,0.60702754,0.452723972,0.424107664,0.281291548,0.281291548,0.034792344
"[(100, 'rbf_l2'), (5, 'rbf_l2')]",NeighbourhoodCleaningRule,0.309856688,0.308999075,0.64636105,0.360493827,0.932228274,0.067771726,0.639506173,0.21377018,0.848270582,0.034053201,0.455270655,0.455270655,0.104223808
"[(100, 'rbf_l2'), (5, 'rbf_l2')]",OneSidedSelection,0.235067583,0.21821844,0.584860288,0.206362773,0.963357803,0.036642197,0.793637227,0.082241216,0.896563265,0.014591523,0.557359924,0.557359924,0.09260265
"[(100, 'rbf_l2'), (5, 'rbf_l2')]",RandomUnderSampler,0.169179007,0.132315946,0.62700237,0.584425451,0.669579288,0.330420712,0.415574549,0.465242165,0.502922093,0.204933302,0.273979107,0.273979107,0.178581874
"[(100, 'rbf_l2'), (5, 'rbf_l2')]",TomekLinks,0.242599291,0.224219853,0.586742894,0.208831909,0.96465388,0.03534612,0.791168091,0.074833808,0.900451496,0.013944273,0.577587844,0.577587844,0.089900096
"[(100, 'rbf_l2'), (5, 'rbf_l2')]",ADASYN,0.270392693,0.265668818,0.65461525,0.432763533,0.876466967,0.123533033,0.567236467,0.171509972,0.607047123,0.029190939,0.311111111,0.311111111,0.513536533
"[(100, 'rbf_l2'), (5, 'rbf_l2')]",RandomOverSampler,0.244874986,0.22266912,0.663987675,0.530294397,0.797680954,0.202319046,0.469705603,0.348053181,0.5548299,0.086576683,0.278252612,0.278252612,0.40347902
"[(100, 'rbf_l2'), (5, 'rbf_l2')]",SMOTE,0.229132368,0.229041797,0.615452882,0.321367521,0.909538243,0.090461757,0.678632479,0.097150997,0.721813876,0.020434131,0.437701804,0.437701804,0.309042931
"[(100, 'rbf_l2'), (5, 'rbf_l2')]",SMOTEENN,0.242996407,0.23855231,0.604234917,0.266191833,0.942278001,0.057721999,0.733808167,0.089553656,0.816814271,0.017838819,0.527350427,0.527350427,0.127960602
"[(100, 'rbf_l2'), (5, 'rbf_l2')]",SMOTETomek,0.229132368,0.229041797,0.615452882,0.321367521,0.909538243,0.090461757,0.678632479,0.097150997,0.721813876,0.020434131,0.437701804,0.437701804,0.1450363
"[(100, 'rbf_l2')]",None,0.257214444,0.231195406,0.586604586,0.201424501,0.971784671,0.028215329,0.798575499,0.067236467,0.916346989,0.011352119,0.597340931,0.597340931,0.189417283
"[(100, 'rbf_l2')]",ClusterCentroids,0.074153452,0.031369722,0.551653528,0.815669516,0.28763754,0.71236246,0.184330484,0.641405508,0.088526324,0.415398216,0.08005698,0.08005698,0.080720663
"[(100, 'rbf_l2')]",EditedNearestNeighbours,0.31690927,0.316812731,0.655301567,0.385185185,0.925417949,0.074582051,0.614814815,0.233618234,0.838222433,0.037936696,0.455460589,0.455460589,0.062136571
"[(100, 'rbf_l2')]",InstanceHardnessThreshold,0.043064993,0.023673237,0.532906734,0.648812915,0.417000553,0.582999447,0.351187085,0.506932574,0.279205936,0.416989502,0.249477683,0.249477683,0.140365918
"[(100, 'rbf_l2')]",NearMiss,0.087752875,0.054078316,0.568762054,0.644634378,0.492889731,0.507110269,0.355365622,0.555365622,0.403387797,0.434166864,0.273504274,0.273504274,0.05782342
"[(100, 'rbf_l2')]",NeighbourhoodCleaningRule,0.320302722,0.319510325,0.651622947,0.37037037,0.932875523,0.067124477,0.62962963,0.201044634,0.842768964,0.032428763,0.472934473,0.472934473,0.061460574
"[(100, 'rbf_l2')]",OneSidedSelection,0.271057398,0.252166876,0.59843362,0.231244065,0.965623175,0.034376825,0.768755935,0.087179487,0.902738969,0.013622227,0.575213675,0.575213675,0.07718722
"[(100, 'rbf_l2')]",RandomUnderSampler,0.184872642,0.144848958,0.63884976,0.602279202,0.675420317,0.324579683,0.397720798,0.425166192,0.483425685,0.19975373,0.273504274,0.273504274,0.147905191
"[(100, 'rbf_l2')]",TomekLinks,0.26229286,0.242304109,0.59393488,0.221272555,0.966597206,0.033402794,0.778727445,0.077302944,0.907604389,0.013620649,0.575023742,0.575023742,0.070568085
"[(100, 'rbf_l2')]",ADASYN,0.284231405,0.279986975,0.660707337,0.440075973,0.881338701,0.118661299,0.559924027,0.168945869,0.602506907,0.030807483,0.303418803,0.303418803,0.545425574
"[(100, 'rbf_l2')]",RandomOverSampler,0.252882366,0.230718984,0.668293625,0.534662868,0.801924382,0.198075618,0.465337132,0.345394112,0.558373984,0.087222354,0.291168091,0.291168091,0.600085417
"[(100, 'rbf_l2')]",SMOTE,0.246194274,0.245661619,0.620835352,0.325641026,0.916029679,0.083970321,0.674358974,0.112060779,0.736757439,0.018164022,0.448148148,0.448148148,0.284439643
"[(100, 'rbf_l2')]",SMOTEENN,0.230665431,0.225257513,0.59659265,0.248622982,0.944562317,0.055437683,0.751377018,0.089458689,0.804510222,0.013942695,0.507597341,0.507597341,0.175608317
"[(100, 'rbf_l2')]",SMOTETomek,0.246194274,0.245661619,0.620835352,0.325641026,0.916029679,0.083970321,0.674358974,0.112060779,0.736757439,0.018164022,0.448148148,0.448148148,0.223669449
"[(100, 'rbf_linf'), (100, 'rbf_linf')]",None,0.201088129,0.19448275,0.581182546,0.215859449,0.946505644,0.053494356,0.784140551,0.119278253,0.891378957,0.033069698,0.656790123,0.656790123,0.724722703
