C,cache_size,class_weight,decision_function_shape,gamma,kernel,Data balancer,Average true rate,Average true positive rate,Average true negative rate,Average false positive rate,Average false negative rate,Average true positive with cutoff,Average true negative rate with cutoff,Average false positive rate with cutoff,Average false negative rate with cutoff,Average unclassified from cutoff
0.01,2048,,ovo,0.001,rbf,SMOTEENN,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.106210526,rbf,SMOTEENN,0.651990161,0.372134039,0.931846282,0.068153718,0.627865961,0,0,0,0,0
0.01,2048,,ovo,0.211421053,rbf,SMOTEENN,0.550070884,0.121164021,0.978977747,0.021022253,0.878835979,0,0,0,0,0
0.01,2048,,ovo,auto,rbf,SMOTETomek,0.703713028,0.550705467,0.856720589,0.143279411,0.449294533,0,0,0,0,0
0.01,2048,,ovo,0.001,rbf,SMOTETomek,0.694194535,0.526895944,0.861493127,0.138506873,0.473104056,0,0,0,0,0
0.01,2048,,ovo,0.316631579,rbf,None,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.106210526,rbf,SMOTETomek,0.707665797,0.57707231,0.838259285,0.161740715,0.42292769,0,0,0,0,0
0.01,2048,,ovo,0.421842105,rbf,None,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.211421053,rbf,SMOTETomek,0.700969216,0.584391534,0.817546898,0.182453102,0.415608466,0,0,0,0,0
0.01,2048,,ovo,0.527052632,rbf,None,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.632263158,rbf,None,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.316631579,rbf,ClusterCentroids,0.710008059,0.650176367,0.769839751,0.230160249,0.349823633,0,0,0,0,0
0.01,2048,,ovo,0.421842105,rbf,ClusterCentroids,0.696487346,0.683950617,0.709024075,0.290975925,0.316049383,0,0,0,0,0
0.01,2048,,ovo,0.316631579,rbf,EditedNearestNeighbours,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.421842105,rbf,EditedNearestNeighbours,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.632263158,rbf,ClusterCentroids,0.681421145,0.698765432,0.664076859,0.335923141,0.301234568,0,0,0,0,0
0.01,2048,,ovo,0.527052632,rbf,ClusterCentroids,0.680639182,0.696208113,0.665070251,0.334929749,0.303791887,0,0,0,0,0
0.01,2048,,ovo,0.632263158,rbf,EditedNearestNeighbours,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.527052632,rbf,EditedNearestNeighbours,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.316631579,rbf,InstanceHardnessThreshold,0.595468174,0.661816578,0.529119769,0.470880231,0.338183422,0,0,0,0,0
0.01,2048,,ovo,0.421842105,rbf,InstanceHardnessThreshold,0.561432411,0.717548501,0.405316321,0.594683679,0.282451499,0,0,0,0,0
0.01,2048,,ovo,0.316631579,rbf,NearMiss,0.611796621,0.947001764,0.276591479,0.723408521,0.052998236,0,0,0,0,0
0.01,2048,,ovo,0.421842105,rbf,NearMiss,0.573187472,0.976102293,0.170272651,0.829727349,0.023897707,0,0,0,0,0
0.01,2048,,ovo,0.632263158,rbf,InstanceHardnessThreshold,0.523610246,0.766049383,0.28117111,0.71882889,0.233950617,0,0,0,0,0
0.01,2048,,ovo,0.527052632,rbf,InstanceHardnessThreshold,0.53488186,0.749118166,0.320645553,0.679354447,0.250881834,0,0,0,0,0
0.01,2048,,ovo,0.632263158,rbf,NearMiss,0.533512949,0.997619048,0.06940685,0.93059315,0.002380952,0,0,0,0,0
0.01,2048,,ovo,0.527052632,rbf,NearMiss,0.545601504,0.992857143,0.098345865,0.901654135,0.007142857,0,0,0,0,0
0.01,2048,,ovo,0.316631579,rbf,NeighbourhoodCleaningRule,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.421842105,rbf,NeighbourhoodCleaningRule,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.632263158,rbf,NeighbourhoodCleaningRule,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.527052632,rbf,NeighbourhoodCleaningRule,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.316631579,rbf,OneSidedSelection,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.316631579,rbf,RandomUnderSampler,0.666813963,0.777689594,0.555938331,0.444061669,0.222310406,0,0,0,0,0
0.01,2048,,ovo,0.421842105,rbf,OneSidedSelection,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.421842105,rbf,RandomUnderSampler,0.63002405,0.85026455,0.40978355,0.59021645,0.14973545,0,0,0,0,0
0.01,2048,,ovo,0.316631579,rbf,TomekLinks,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.632263158,rbf,OneSidedSelection,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.527052632,rbf,OneSidedSelection,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.421842105,rbf,TomekLinks,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.632263158,rbf,RandomUnderSampler,0.592322853,0.942063492,0.242582213,0.757417787,0.057936508,0,0,0,0,0
0.01,2048,,ovo,0.527052632,rbf,RandomUnderSampler,0.599375754,0.893738977,0.305012531,0.694987469,0.106261023,0,0,0,0,0
0.01,2048,,ovo,0.632263158,rbf,TomekLinks,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.527052632,rbf,TomekLinks,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.316631579,rbf,ADASYN,0.578567251,0.799206349,0.357928154,0.642071846,0.200793651,0,0,0,0,0
0.01,2048,,ovo,0.421842105,rbf,ADASYN,0.509920635,0.726190476,0.293650794,0.706349206,0.273809524,0,0,0,0,0
0.01,2048,,ovo,0.632263158,rbf,ADASYN,0.504761905,0.728571429,0.280952381,0.719047619,0.271428571,0,0,0,0,0
0.01,2048,,ovo,0.527052632,rbf,ADASYN,0.506349206,0.728571429,0.284126984,0.715873016,0.271428571,0,0,0,0,0
0.01,2048,,ovo,0.316631579,rbf,RandomOverSampler,0.668127263,0.746296296,0.589958229,0.410041771,0.253703704,0,0,0,0,0
0.01,2048,,ovo,0.421842105,rbf,RandomOverSampler,0.640871961,0.852557319,0.429186603,0.570813397,0.147442681,0,0,0,0,0
0.01,2048,,ovo,0.632263158,rbf,RandomOverSampler,0.603867835,0.944091711,0.263643958,0.736356042,0.055908289,0,0,0,0,0
0.01,2048,,ovo,0.527052632,rbf,RandomOverSampler,0.610915589,0.900881834,0.320949343,0.679050657,0.099118166,0,0,0,0,0
0.01,2048,,ovo,0.316631579,rbf,SMOTE,0.701765778,0.611111111,0.792420445,0.207579555,0.388888889,0,0,0,0,0
0.01,2048,,ovo,0.421842105,rbf,SMOTE,0.6942358,0.690917108,0.697554492,0.302445508,0.309082892,0,0,0,0,0
0.01,2048,,ovo,0.632263158,rbf,SMOTE,0.6460655,0.849911817,0.442219184,0.557780816,0.150088183,0,0,0,0,0
0.01,2048,,ovo,0.527052632,rbf,SMOTE,0.671708016,0.787213404,0.556202628,0.443797372,0.212786596,0,0,0,0,0
0.01,2048,,ovo,0.316631579,rbf,SMOTEENN,0.50043712,0.002469136,0.998405104,0.001594896,0.997530864,0,0,0,0,0
0.01,2048,,ovo,0.421842105,rbf,SMOTEENN,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.632263158,rbf,SMOTEENN,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.527052632,rbf,SMOTEENN,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.316631579,rbf,SMOTETomek,0.708655983,0.635449735,0.781862231,0.218137769,0.364550265,0,0,0,0,0
0.01,2048,,ovo,0.421842105,rbf,SMOTETomek,0.687075686,0.700881834,0.673269537,0.326730463,0.299118166,0,0,0,0,0
0.01,2048,,ovo,0.737473684,rbf,None,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.842684211,rbf,None,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.527052632,rbf,SMOTETomek,0.661328447,0.778042328,0.544614567,0.455385433,0.221957672,0,0,0,0,0
0.01,2048,,ovo,0.632263158,rbf,SMOTETomek,0.640357206,0.857671958,0.423042455,0.576957545,0.142328042,0,0,0,0,0
0.01,2048,,ovo,0.947894737,rbf,None,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,1.053105263,rbf,None,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.737473684,rbf,ClusterCentroids,0.681624642,0.643121693,0.720127592,0.279872408,0.356878307,0,0,0,0,0
0.01,2048,,ovo,0.842684211,rbf,ClusterCentroids,0.653709189,0.529982363,0.777436014,0.222563986,0.470017637,0,0,0,0,0
0.01,2048,,ovo,0.737473684,rbf,EditedNearestNeighbours,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.842684211,rbf,EditedNearestNeighbours,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.947894737,rbf,ClusterCentroids,0.607557066,0.360934744,0.854179388,0.145820612,0.639065256,0,0,0,0,0
0.01,2048,,ovo,1.053105263,rbf,ClusterCentroids,0.54609723,0.1670194,0.925175059,0.074824941,0.8329806,0,0,0,0,0
0.01,2048,,ovo,0.947894737,rbf,EditedNearestNeighbours,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,1.053105263,rbf,EditedNearestNeighbours,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.737473684,rbf,InstanceHardnessThreshold,0.532039948,0.901587302,0.162492595,0.837507405,0.098412698,0,0,0,0,0
0.01,2048,,ovo,0.842684211,rbf,InstanceHardnessThreshold,0.525870484,0.908994709,0.14274626,0.85725374,0.091005291,0,0,0,0,0
0.01,2048,,ovo,0.737473684,rbf,NearMiss,0.524598997,0.997619048,0.051578947,0.948421053,0.002380952,0,0,0,0,0
0.01,2048,,ovo,0.842684211,rbf,NearMiss,0.522447786,1,0.044895572,0.955104428,0,0,0,0,0,0
0.01,2048,,ovo,0.947894737,rbf,InstanceHardnessThreshold,0.522497321,0.911463845,0.133530797,0.866469203,0.088536155,0,0,0,0,0
0.01,2048,,ovo,1.053105263,rbf,InstanceHardnessThreshold,0.524085086,0.918783069,0.129387104,0.870612896,0.081216931,0,0,0,0,0
0.01,2048,,ovo,0.947894737,rbf,NearMiss,0.519576973,1,0.039153945,0.960846055,0,0,0,0,0,0
0.01,2048,,ovo,0.737473684,rbf,NeighbourhoodCleaningRule,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,1.053105263,rbf,NearMiss,0.519736462,1,0.039472925,0.960527075,0,0,0,0,0,0
0.01,2048,,ovo,0.842684211,rbf,NeighbourhoodCleaningRule,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.947894737,rbf,NeighbourhoodCleaningRule,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.737473684,rbf,OneSidedSelection,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,1.053105263,rbf,NeighbourhoodCleaningRule,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.737473684,rbf,RandomUnderSampler,0.566062505,0.951587302,0.180537708,0.819462292,0.048412698,0,0,0,0,0
0.01,2048,,ovo,0.842684211,rbf,OneSidedSelection,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.842684211,rbf,RandomUnderSampler,0.56092812,0.958818342,0.163037898,0.836962102,0.041181658,0,0,0,0,0
0.01,2048,,ovo,0.737473684,rbf,TomekLinks,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.842684211,rbf,TomekLinks,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.947894737,rbf,OneSidedSelection,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.947894737,rbf,RandomUnderSampler,0.557102647,0.963580247,0.150625047,0.849374953,0.036419753,0,0,0,0,0
0.01,2048,,ovo,1.053105263,rbf,OneSidedSelection,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,1.053105263,rbf,RandomUnderSampler,0.552957436,0.963580247,0.142334624,0.857665376,0.036419753,0,0,0,0,0
0.01,2048,,ovo,0.947894737,rbf,TomekLinks,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.737473684,rbf,ADASYN,0.503174603,0.728571429,0.277777778,0.722222222,0.271428571,0,0,0,0,0
0.01,2048,,ovo,0.842684211,rbf,ADASYN,0.503174603,0.728571429,0.277777778,0.722222222,0.271428571,0,0,0,0,0
0.01,2048,,ovo,1.053105263,rbf,TomekLinks,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.947894737,rbf,ADASYN,0.503888889,0.730952381,0.276825397,0.723174603,0.269047619,0,0,0,0,0
0.01,2048,,ovo,0.737473684,rbf,RandomOverSampler,0.595341004,0.961111111,0.229570897,0.770429103,0.038888889,0,0,0,0,0
0.01,2048,,ovo,0.842684211,rbf,RandomOverSampler,0.584787769,0.968342152,0.201233386,0.798766614,0.031657848,0,0,0,0,0
0.01,2048,,ovo,1.053105263,rbf,ADASYN,0.503730159,0.730952381,0.276507937,0.723492063,0.269047619,0,0,0,0,0
0.01,2048,,ovo,0.947894737,rbf,RandomOverSampler,0.578224813,0.970811287,0.185638338,0.814361662,0.029188713,0,0,0,0,0
0.01,2048,,ovo,1.053105263,rbf,RandomOverSampler,0.57308815,0.973280423,0.172895876,0.827104124,0.026719577,0,0,0,0,0
0.01,2048,,ovo,0.737473684,rbf,SMOTE,0.609130022,0.872222222,0.346037822,0.653962178,0.127777778,0,0,0,0,0
0.01,2048,,ovo,0.842684211,rbf,SMOTE,0.60315203,0.922663139,0.28364092,0.71635908,0.077336861,0,0,0,0,0
0.01,2048,,ovo,0.947894737,rbf,SMOTE,0.587040202,0.92989418,0.244186223,0.755813777,0.07010582,0,0,0,0,0
0.01,2048,,ovo,1.053105263,rbf,SMOTE,0.581769154,0.946737213,0.216801094,0.783198906,0.053262787,0,0,0,0,0
0.01,2048,,ovo,0.737473684,rbf,SMOTEENN,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.842684211,rbf,SMOTEENN,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.947894737,rbf,SMOTEENN,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,1.053105263,rbf,SMOTEENN,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,0.737473684,rbf,SMOTETomek,0.619145676,0.917636684,0.320654667,0.679345333,0.082363316,0,0,0,0,0
0.01,2048,,ovo,0.842684211,rbf,SMOTETomek,0.60084846,0.936772487,0.264924432,0.735075568,0.063227513,0,0,0,0,0
0.01,2048,,ovo,1.158315789,rbf,None,0.5,0,1,0,1,0,0,0,0,0
0.01,2048,,ovo,1.263526316,rbf,None,0.5,0,1,0,1,0,0,0,0,0
